cv1,cv2,label2,pear,spear,occ,min_bin,cond_iqr_med,frac_bins_iqr50,ent1,ent2,score,control
c_ca_s4_r010_b3,chirality_ca,chirality_ca,-0.0014018311306940579,-0.0036079385642565375,1.0,51,1.0144599664941727,1.0,0.9113051617310904,0.8988107453941234,0.8955678914438477,
c_heavy_s4_r012_b3,chirality_ca,chirality_ca,-0.009598247261961087,-0.010866076348698175,1.0,45,0.990948552069606,1.0,0.9079834279008894,0.8988107453941234,0.8890441992116406,
c_bb_s4_r010_b3,chirality_ca,chirality_ca,-0.007840643225994363,-0.009448532086156982,1.0,53,1.015206642023812,1.0,0.8948969706815642,0.8988107453941234,0.8864415079402747,
c_sch_s4_r012_b3,chirality_ca,chirality_ca,-0.024694849530496603,-0.023291337876103914,1.0,33,1.0229231103662362,1.0,0.8954455417198809,0.8988107453941234,0.8745894170580322,
c_sch_s4_r012_b3,resPC1_refit,resPC1(refit vs this CV1),-6.752345065388243e-17,0.0008812640600562155,1.0,9,0.9535644711934855,1.0,0.8954455417198809,0.8656145692533599,0.8648517342436159,
c_sch_s4_r012_b3,restorpca_pc1,restorpca_pc1,-0.003836775489467757,-0.005146695894698485,1.0,8,0.9553585992558236,1.0,0.8954455417198809,0.8588845395716105,0.8544641220377772,
c_bb_s4_r010_b3,restorpca_pc1,restorpca_pc1,0.004000719900772919,-0.006068446713741835,1.0,7,0.9177159106459777,1.0,0.8948969706815642,0.8588845395716105,0.8536724445099635,
c_ca_s4_r010_b3,restorpca_pc1,restorpca_pc1,0.0004885997502938209,-0.00918329282836918,1.0,8,0.9398424447503259,1.0,0.9113051617310904,0.8588845395716105,0.8509971513389654,
c_heavy_s4_r012_b3,resPC1_refit,resPC1(refit vs this CV1),1.1904516616028558e-16,-0.016405617143451363,1.0,7,0.9496366897409202,1.0,0.9079834279008894,0.8588845395716105,0.8447940086449691,
c_heavy_s4_r012_b3,restorpca_pc1,restorpca_pc1,1.3341268621411318e-16,-0.016405617143451363,1.0,7,0.9496366897409215,1.0,0.9079834279008894,0.8588845395716105,0.8447940086449691,
c_ca_s4_r010_b3,resPC1_refit,resPC1(refit vs this CV1),-3.1400580081294104e-17,-0.01463602392561658,1.0,7,0.9427972680562935,1.0,0.9113051617310904,0.8562224019695999,0.8436907104087239,
c_bb_s4_r010_b3,resPC1_refit,resPC1(refit vs this CV1),1.6013235209912186e-16,-0.01448394488965802,1.0,6,0.9291207896776877,1.0,0.8948969706815642,0.8558771180261321,0.8434806410163223,
c_heavy_s4_r012_b3,torpca_pc2,torpca_pc2,0.09761256010269634,0.09427532882781814,1.0,40,0.9903254986321522,1.0,0.9079834279008894,0.8517342777563169,0.7714367486469159,
c_sch_s4_r012_b3,torpca_pc2,torpca_pc2,0.09302596507613123,0.09465166471659948,1.0,36,0.9765066131265132,1.0,0.8954455417198809,0.8517342777563169,0.7711162104704911,
c_bb_s4_r010_b3,torpca_pc2,torpca_pc2,0.09583440951830718,0.09467037443736213,1.0,45,1.002606607674784,1.0,0.8948969706815642,0.8517342777563169,0.7711002747599902,
c_ca_s4_r010_b3,torpca_pc2,torpca_pc2,0.1017822485727353,0.09858359881532944,1.0,35,0.9871675387944172,1.0,0.9113051617310904,0.8517342777563169,0.7677672474207239,
c_bb_s4_r010_b3,burial_w6,burial_w6,0.1597419018438766,0.14731448303242325,1.0,17,1.0472126798394645,1.0,0.8948969706815642,0.8174460779465326,0.6970244315669571,
c_ca_s4_r010_b3,burial_w6,burial_w6,0.16069563308263418,0.14743426024064976,1.0,17,1.0411215563787741,1.0,0.9113051617310904,0.8174460779465326,0.696926520157865,
c_sch_s4_r012_b3,acylindricity,acylindricity,-0.10705868994934467,-0.025567474220812555,1.0,19,0.9905201597672142,1.0,0.8954455417198809,0.6785484819511279,0.661199711131271,
c_heavy_s4_r012_b3,acylindricity,acylindricity,-0.13831326356387913,-0.043116653544134256,1.0,7,1.0052949273801468,1.0,0.9079834279008894,0.6785484819511279,0.6492917421419429,
c_heavy_s4_r012_b3,burial_w6,burial_w6,0.2476602688725045,0.21271772419365756,1.0,9,1.0213420696368432,1.0,0.9079834279008894,0.8174460779465326,0.643560808594715,
c_sch_s4_r012_b3,sasa_hydrophobic_frac,sasa_hydrophobic_frac,0.12268505144741175,0.15850393880642735,1.0,6,0.9203945530811333,1.0,0.8954455417198809,0.7610754459897618,0.6404419900715262,
