variant,metric,x,F_kcal_mol,P,count
current,cv_distance,0.037104567109296716,1.6907943934930352,0.002756340505747462,1133
current,cv_distance,0.06925855269655586,0.7010875345826155,0.014498375988550907,23245
current,cv_distance,0.101412538283815,0.38780763221141945,0.02452104831082213,108700
current,cv_distance,0.13356652387107412,0.31802894179320806,0.027565873223689547,177989
current,cv_distance,0.16572050945833325,0.29126092711746865,0.02883180610598329,198215
current,cv_distance,0.1978744950455924,0.2233646178967692,0.032309726662294785,198465
current,cv_distance,0.23002848063285153,0.17815659637154213,0.034855124991003864,191778
current,cv_distance,0.26218246622011065,0.14125221471462068,0.03708095655275297,183571
current,cv_distance,0.2943364518073698,0.1098305330588345,0.03908779294351329,177687
current,cv_distance,0.3264904373946289,0.08431718101227537,0.040796907189700624,174996
current,cv_distance,0.35864442298188803,0.05951357168205118,0.04253008934788728,176950
current,cv_distance,0.39079840856914716,0.03820427380760738,0.044077788489477535,177932
current,cv_distance,0.42295239415640634,0.020628382793014266,0.04539662510815824,178782
current,cv_distance,0.45510637974366547,0.010482164617608758,0.046175853781989476,182251
current,cv_distance,0.4872603653309246,0.0,0.046994932778728696,187079
current,cv_distance,0.5194143509181837,0.03190054916419727,0.0445463335611367,183010
current,cv_distance,0.5515683365054429,0.062193215127321455,0.042339352822324275,176656
current,cv_distance,0.5837223220927019,0.10059830880682297,0.03969782244422794,170642
current,cv_distance,0.6158763076799612,0.08585552170507094,0.04069177013745619,170628
current,cv_distance,0.6480302932672202,0.05640742494348605,0.04275225984225774,172676
current,cv_distance,0.6801842788544794,0.06490884858160051,0.042146927231766176,178187
current,cv_distance,0.7123382644417384,0.06839879839080232,0.041900918361310616,187753
current,cv_distance,0.7444922500289977,0.040175964401877984,0.04393225034893912,200024
current,cv_distance,0.7766462356162568,0.07128259987870345,0.041698721150778786,203799
current,cv_distance,0.8088002212035159,0.13827698198840443,0.03726647720566191,200205
current,cv_distance,0.8409542067907751,0.22366359671193048,0.0322935271835534,184646
current,cv_distance,0.8731081923780342,0.5136119128625822,0.019856034355872694,132141
current,cv_distance,0.9052621779652934,0.6242655278653351,0.016492368470503622,70163
current,cv_distance,0.9374161635525524,1.1467646500032769,0.006865154483237548,14284
current,cv_distance,0.9695701491398117,4.2018178739375465,4.084042067320494e-05,349
