basin_id,center_cv_A,checkpoint_index,checkpoint_step,frac_total,population
0,0.4872603653309246,1,1010500,4.1885401541382775e-05,1.0
0,0.4872603653309246,2,1944500,0.2738746788785882,1.0
0,0.4872603653309246,3,2878250,0.4851551156037083,0.9999999999999998
0,0.4872603653309246,4,3812250,0.650888668602703,1.0
0,0.4872603653309246,5,4746250,0.7754000055847202,1.0
0,0.4872603653309246,6,5680250,0.8597222997877806,1.0
0,0.4872603653309246,7,6614500,0.9035658438512231,1.0000000000000002
0,0.4872603653309246,8,7548500,0.9426868088908745,1.0
0,0.4872603653309246,9,8482750,0.9739193566402323,1.0
0,0.4872603653309246,10,9416750,1.0,1.0
