variant,metric,checkpoint_index,checkpoint_step,frac_total,bin,x,F_kcal_mol,P,count
current,rg,1,1010500,4.383383220409032e-05,0,5.052111104040872,,0.0,0
current,rg,1,1010500,4.383383220409032e-05,1,5.24489284834767,,0.0,0
current,rg,1,1010500,4.383383220409032e-05,2,5.437674592654467,0.14914682757442288,0.2627516864989065,9
current,rg,1,1010500,4.383383220409032e-05,3,5.630456336961265,3.3935514414428822,0.0011377472082222393,1
current,rg,1,1010500,4.383383220409032e-05,4,5.823238081268062,1.2186228532299244,0.04369667472628507,9
current,rg,1,1010500,4.383383220409032e-05,5,6.016019825574859,4.3017375515769745,0.00024799671105873994,3
current,rg,1,1010500,4.383383220409032e-05,6,6.208801569881657,0.4498208631270725,0.15867518779229403,5
current,rg,1,1010500,4.383383220409032e-05,7,6.401583314188454,0.0,0.3374401242792246,4
current,rg,1,1010500,4.383383220409032e-05,8,6.594365058495252,2.125286314943719,0.009548997022669202,7
current,rg,1,1010500,4.383383220409032e-05,9,6.78714680280205,1.6727663196070406,0.020399134259304837,12
current,rg,1,1010500,4.383383220409032e-05,10,6.979928547108847,1.5381348427472639,0.025567527559589458,12
current,rg,1,1010500,4.383383220409032e-05,11,7.172710291415645,1.27530070934723,0.039733738309699944,16
current,rg,1,1010500,4.383383220409032e-05,12,7.3654920357224425,1.201370716407686,0.04497967465784979,24
current,rg,1,1010500,4.383383220409032e-05,13,7.55827378002924,1.5093766721931785,0.02683110911457342,14
current,rg,1,1010500,4.383383220409032e-05,14,7.751055524336038,2.515432389474904,0.0049629767227300494,15
current,rg,1,1010500,4.383383220409032e-05,15,7.943837268642835,1.8848155176053578,0.014293451090886308,15
current,rg,1,1010500,4.383383220409032e-05,16,8.136619012949634,2.2336212992109017,0.007962278407713906,17
current,rg,1,1010500,4.383383220409032e-05,17,8.32940075725643,3.6339886586295793,0.0007601352963083616,13
current,rg,1,1010500,4.383383220409032e-05,18,8.522182501563227,3.918535331376314,0.00047163165666419527,14
current,rg,1,1010500,4.383383220409032e-05,19,8.714964245870025,4.402351143718557,0.00020948379828433778,14
current,rg,1,1010500,4.383383220409032e-05,20,8.907745990176823,4.5611635273810816,0.00016049371064852377,13
current,rg,1,1010500,4.383383220409032e-05,21,9.10052773448362,4.9202908787203015,8.786970525043179e-05,5
current,rg,1,1010500,4.383383220409032e-05,22,9.293309478790418,4.985667633370691,7.874322391898668e-05,1
current,rg,1,1010500,4.383383220409032e-05,23,9.486091223097215,6.869982087297334,3.3382479170951376e-06,1
current,rg,1,1010500,4.383383220409032e-05,24,9.678872967404013,,0.0,0
current,rg,1,1010500,4.383383220409032e-05,25,9.87165471171081,,0.0,0
current,rg,1,1010500,4.383383220409032e-05,26,10.064436456017608,,0.0,0
current,rg,1,1010500,4.383383220409032e-05,27,10.257218200324406,,0.0,0
current,rg,1,1010500,4.383383220409032e-05,28,10.449999944631202,,0.0,0
current,rg,1,1010500,4.383383220409032e-05,29,10.642781688938001,,0.0,0
current,rg,2,1944250,0.2922245043645973,0,5.052111104040872,2.604855134122494,0.000955100875595092,884
