basin_id,center_cv_A,checkpoint_index,checkpoint_step,frac_total,population
0,6.594365058495252,1,1010500,4.383383220409032e-05,1.0
0,6.594365058495252,2,1944250,0.2922245043645973,1.0
0,6.594365058495252,3,2878000,0.5278094355454808,0.9999999999999999
0,6.594365058495252,4,3811750,0.6873364058762383,1.0
0,6.594365058495252,5,4745500,0.7987150425188172,1.0
0,6.594365058495252,6,5679500,0.874246997382494,1.0
0,6.594365058495252,7,6613250,0.9135377659774319,1.0
0,6.594365058495252,8,7547000,0.948620486680777,1.0
0,6.594365058495252,9,8480750,0.9766115195311033,1.0
0,6.594365058495252,10,9414500,1.0,1.0
