cv,family,mean,std,median,IQR,p05,p95,span_01_99,entropy,BC,nw_k1200
c_ca_s4_r010_b6,contact,0.4890309042985479,0.24879847596128452,0.506180465221405,0.3913547098636628,0.06539460271596902,0.8753870189189914,0.9522186827659604,0.9819091770086241,0.49125133586645126,28
cresb_ca_s4_r010_b6,contact resbal,0.4890309040682138,0.2487984746629839,0.5061804552872976,0.3913546992199762,0.06539460448991682,0.875387029562678,0.95221865988913,0.9819091770086241,0.4912513391537506,28
cresb_bb_s4_r010_b6,contact resbal,0.5143075735514684,0.24602569581475411,0.5357267915138176,0.39254430379895944,0.09407602822674165,0.8854354845803409,0.9115588214833822,0.9793683179010786,0.512982010568378,27
c_bb_s4_r010_b6,contact,0.5143075750652816,0.24602569770781232,0.53572678565979,0.39254432916641235,0.09407602846622463,0.8854354619979858,0.9115588422119618,0.9793683179010786,0.5129820098079998,27
c_ca_s4_r010_b3,contact,0.4878714701343725,0.24387935126351393,0.5048996806144714,0.383942723274231,0.07396349906921383,0.8643280982971192,0.9320353736355902,0.9788777149469378,0.49394476521866415,27
cresb_ca_s4_r010_b3,contact resbal,0.4878714700478148,0.24387935075547745,0.5048996948060536,0.38394274881907875,0.07396349552131828,0.8643279888800213,0.9320353833834328,0.9788777149469378,0.49394476497687545,27
cresb_bb_s4_r010_b3,contact resbal,0.5127619917644202,0.24213068355480472,0.5347694826445409,0.3860831712594345,0.0973359020959053,0.8760083998509108,0.8978141683251374,0.9781394291994483,0.5133357302503503,26
c_bb_s4_r010_b3,contact,0.5127619922821831,0.24213068421171424,0.5347695350646973,0.3860832154750824,0.0973359033465385,0.8760084033012392,0.8978141743689775,0.9781394291994483,0.513335728964512,26
c_ca_s4_r010_b1.5,contact,0.48441147444542837,0.22973185393610313,0.5053093433380127,0.360907256603241,0.08774206563830375,0.8322518646717072,0.8740768341720103,0.9742772533322224,0.49830636236178866,26
cresb_ca_s4_r010_b1.5,contact resbal,0.4844114745129086,0.22973185378054672,0.5053093561104366,0.3609072523457664,0.08774206907976236,0.8322519217218672,0.8740768099682672,0.9742772533322224,0.4983063636909616,26
cresb_bb_s4_r010_b1.5,contact resbal,0.5076926072109265,0.2292576358929391,0.5296171797173364,0.3633527757954739,0.10882289545344455,0.8459964056721047,0.8575740484112786,0.9719029492957866,0.5137975765910564,25
c_bb_s4_r010_b1.5,contact,0.5076926074245275,0.2292576362707342,0.529617190361023,0.36335277557373047,0.10882289186120028,0.8459964394569398,0.8575740619003773,0.9719029492957866,0.5137975773536589,25
contact_order_ca8,geometry,0.23593741777035473,0.052190904332897255,0.2333333333333333,0.084695652173913,0.1555555555555555,0.325,0.1973856209150327,0.9607794778350507,0.5070551346614863,5
cresb_heavy_s4_r010_b6,contact resbal,0.394173713011173,0.18214334324725742,0.4098192461310647,0.28659020889240305,0.08105537559616463,0.6727377258239727,0.7022824767058048,0.9597812987993722,0.49236874752477505,21
cresb_heavy_s4_r010_b3,contact resbal,0.3945702618711328,0.18030402168279472,0.4104436384549171,0.2835900732439569,0.08374946433771427,0.6692926150684636,0.6952468808490206,0.9597093039206145,0.4929279363018772,20
c_sch_s4_r012_b6,contact,0.41599831714837465,0.22447072038963703,0.4031335115432739,0.35392850637435913,0.0761920824646949,0.802186119556427,0.8798380269110202,0.9577682756920491,0.4853110201850115,26
cresb_heavy_s4_r010_b1.5,contact resbal,0.39617159907308236,0.17387982546401037,0.4126256720364156,0.2723340535331258,0.0926895730685164,0.6573604021436767,0.6733488515210304,0.9576763457127953,0.49437345730784377,20
c_sch_s4_r014_b3,contact,0.6145560082544282,0.2332030296995187,0.6423399448394775,0.3702122420072556,0.20254351645708082,0.9455899953842163,0.8839032389223576,0.9563380049496457,0.5188795560762567,26
c_sch_s4_r012_b3,contact,0.4165651512154317,0.22219488765181206,0.4043133556842804,0.34981262683868414,0.07918477132916447,0.7975010633468629,0.8710870011895895,0.9562243295841023,0.4836814787869097,26
