cv1,cv2,pearson,spearman,occ,min_bin,cond_iqr
c_bb_s4_r010_b3,restorpca_pc1,-1.7224347239743867e-16,-0.0036784686008284333,1.0,20,1.0083579251625878
c_bb_s4_r010_b3,torpca_pc1,-0.41184511797712364,-0.381080262709242,0.984375,4,0.8772458285045207
c_bb_s4_r010_b3,torpca_pc2,0.008047709916856906,0.008417970880060827,1.0,27,0.9720578707062
c_bb_s4_r010_b3,torpca_pc3,0.02204083149472544,0.01960473128462404,1.0,25,0.9723458993864115
c_bb_s4_r010_b3,hairpin_closure_ratio,0.2816440510708334,0.2269037283766136,0.9921875,6,1.0040020873674957
c_bb_s4_r010_b3,acylindricity,0.09134991226541975,0.11035027167801044,1.0,34,0.995230513547433
c_bb_s4_r010_b3,shape_anisotropy,-0.7765761871515784,-0.7689754007119973,0.9375,1,0.5719590712598048
c_bb_s4_r010_b3,chirality_ca,0.04821174200300247,0.06162646421322609,1.0,32,1.0192477803196542
c_bb_s4_r010_b3,turn3537_mean_ca,-0.4980353339029658,-0.47174320494169025,0.9453125,2,0.8756715657409351
c_bb_s4_r010_b3,pack_y2,0.2607701555917483,0.3040254304125902,1.0,6,1.0
c_bb_s4_r010_b3,burial_d3,0.24175829804103036,0.21508464034671504,1.0,9,1.0493079896304822
c_bb_s4_r010_b3,burial_w9,0.271652330715708,0.2818551311104097,1.0,18,0.9662873290171459
c_bb_s4_r010_b3,sasa_hydrophobic_frac,0.1900282308941727,0.23694883902403333,1.0,2,1.0060857558497918
c_bb_s4_r010_b3,contact_order_ca8,0.918780216223053,0.9286007175655838,0.6875,1,0.32010956189601014
c_bb_s4_r010_b3,e2e_nc_ca,-0.8188621090718854,-0.8052495347227808,0.8203125,1,0.5864582327434333
c_bb_s4_r010_b3,d_y2_w9_ca,-0.8684236057564291,-0.8610202436053673,0.78125,1,0.48245401073589067
c_ca_s4_r010_b3,restorpca_pc1,-0.004308567665065661,-0.00564351863238983,1.0,24,1.001784632291273
c_ca_s4_r010_b3,torpca_pc1,-0.4049095028700756,-0.37738759316751674,1.0,1,0.8859632042963437
c_ca_s4_r010_b3,torpca_pc2,0.0003795033111012742,0.0011590100463334772,1.0,23,0.9875019453347174
c_ca_s4_r010_b3,torpca_pc3,0.02769965857730594,0.030041943974385806,1.0,31,0.9822711154669517
c_ca_s4_r010_b3,hairpin_closure_ratio,0.2625984194068517,0.20889684397713087,0.9921875,4,1.028401582468707
c_ca_s4_r010_b3,acylindricity,0.07268092118626994,0.09336723428526814,1.0,27,1.0001456502332169
c_ca_s4_r010_b3,shape_anisotropy,-0.7746886213490781,-0.77260881853212,0.9375,1,0.5417625998475383
c_ca_s4_r010_b3,chirality_ca,0.04540245542000829,0.05699968326993654,1.0,26,0.9925967675757256
c_ca_s4_r010_b3,turn3537_mean_ca,-0.49536936184649377,-0.4740129055387178,0.9609375,1,0.873841138461888
c_ca_s4_r010_b3,pack_y2,0.28224996389246076,0.32697330228098564,1.0,2,1.0
c_ca_s4_r010_b3,burial_d3,0.25065016005387875,0.2231210675727764,1.0,7,1.028463260858361
c_ca_s4_r010_b3,burial_w9,0.29200276420883775,0.30490226026547573,1.0,21,0.965614520625566
c_ca_s4_r010_b3,sasa_hydrophobic_frac,0.17709486150971912,0.22435004885027762,1.0,2,1.0075803930270968
c_ca_s4_r010_b3,contact_order_ca8,0.9198086501637582,0.9287247211442669,0.671875,1,0.3177340189660518
c_ca_s4_r010_b3,e2e_nc_ca,-0.8037854350476084,-0.7915352273111864,0.828125,1,0.5980243776845368
c_ca_s4_r010_b3,d_y2_w9_ca,-0.8632571986178067,-0.8599029747165119,0.7890625,1,0.47253931567867
c_heavy_s4_r012_b3,restorpca_pc1,-0.04200859806736793,-0.05484157969936298,1.0,32,1.0082062940653405
c_heavy_s4_r012_b3,torpca_pc1,-0.3454246862461226,-0.29941420031107757,0.9921875,1,0.932181618213245
c_heavy_s4_r012_b3,torpca_pc2,0.048838199163916574,0.04177702320309777,1.0,13,0.9919280493415137
c_heavy_s4_r012_b3,torpca_pc3,0.08018068983290416,0.07804622907716191,1.0,36,0.9960294805056423
c_heavy_s4_r012_b3,hairpin_closure_ratio,0.05846621214965338,-0.03308712297843343,1.0,5,1.0967660440834466
c_heavy_s4_r012_b3,acylindricity,0.0823651738556035,0.0877636187908665,1.0,1,0.9827412118805102
c_heavy_s4_r012_b3,shape_anisotropy,-0.8840550616509975,-0.8840880681612482,0.765625,1,0.437751403592842
