cv1,cv2,label2,pear,spear,occ,min_bin,cond_iqr_med,frac_bins_iqr50,ent1,ent2,score,control
c_sch_s4_r012_b3,resPC1_refit,resPC1(refit vs this CV1),-7.762581650361294e-17,0.007749331427803839,1.0,2,0.9174905748741752,1.0,0.9571541387239442,0.931591505341072,0.9243722940108574,
c_ca_s4_r010_b3,resPC1_refit,resPC1(refit vs this CV1),-3.111694148827651e-17,-0.004485866528311577,1.0,3,0.9420839744824426,1.0,0.9759105486420168,0.9057949759129726,0.9017317005490119,
c_heavy_s4_r012_b3,resPC1_refit,resPC1(refit vs this CV1),-1.4788772990172927e-16,0.015847494323633894,1.0,3,1.0110669569955812,1.0,0.9569877774537032,0.9149283218926091,0.9004290005048841,
c_heavy_s4_r012_b3,restorpca_pc1,restorpca_pc1,-1.5001561090750963e-16,-0.015847494323633894,1.0,3,1.0110669569955828,1.0,0.9569877774537032,0.914928321892609,0.900429000504884,
c_bb_s4_r010_b3,resPC1_refit,resPC1(refit vs this CV1),-1.09973217920617e-16,-0.0030856200317069507,1.0,1,0.9820971923733675,1.0,0.978715515076252,0.9016423598886019,0.8988602341614941,
c_ca_s4_r010_b3,torpca_pc2,torpca_pc2,-0.03144782221409232,-0.040558575480933855,1.0,3,0.9627602468697294,1.0,0.9759105486420168,0.9361567724085292,0.8981875872928105,
c_bb_s4_r010_b3,torpca_pc2,torpca_pc2,-0.04177600689788695,-0.049561605906783573,1.0,3,0.9800787279505014,1.0,0.978715515076252,0.9361567724085292,0.8897593393874512,
c_sch_s4_r012_b3,torpca_pc2,torpca_pc2,-0.05493568833545969,-0.0650218878912931,1.0,2,0.9254890820021267,1.0,0.9571541387239442,0.9361567724085292,0.875286091704307,
c_heavy_s4_r012_b3,torpca_pc2,torpca_pc2,-0.06739972231339579,-0.0719711720779626,1.0,4,0.9816398919725857,1.0,0.9569877774537032,0.9361567724085292,0.868780472249565,
c_ca_s4_r010_b3,acylindricity,acylindricity,0.03225334295704131,0.04544778646275851,1.0,4,1.0083607492894302,1.0,0.9759105486420168,0.871043461438561,0.8314564642033193,
c_sch_s4_r012_b3,acylindricity,acylindricity,0.025974707181158217,0.05341853892995432,1.0,2,0.9712438847546341,1.0,0.9571541387239442,0.871043461438561,0.8245135923840231,
