,bond,angle,torsion,nonbonded,gb_solvation,total
survivor_018_basin_018_candidate_5913_gencluster_424_conf_566293_implicit_min,18.911880493164062,76.24269104003906,375.79339599609375,-509.33314514160156,-1537.1134052276611,-1575.4988890886307
survivor_019_basin_019_candidate_7823_gencluster_2817_conf_702074_implicit_min,17.665599822998047,72.20367431640625,367.39935302734375,-565.49582862854,-1501.2249569892883,-1609.451784312725
survivor_020_basin_020_candidate_5089_gencluster_5089_conf_715018_implicit_min,18.145994186401367,58.47396469116211,373.7633972167969,-441.6498260498047,-1619.4825859069824,-1610.7490641474724
survivor_021_basin_021_candidate_10381_gencluster_015_conf_092424_implicit_min,17.32695770263672,61.35176467895508,364.84320068359375,-386.3655104637146,-1639.484338760376,-1582.3278469145298
survivor_022_basin_022_candidate_4121_gencluster_4121_conf_528408_implicit_min,17.515113830566406,76.9709243774414,361.1036376953125,-494.40713357925415,-1525.1500554084778,-1563.9673837274313
survivor_023_basin_023_nma_bh_candidate_1210_gencluster_1210_conf_408293_implicit_min_hop_000_mode01_m0.75A_implicit_min,19.280677795410156,73.07514953613281,366.129150390625,-416.42477798461914,-1643.2762203216553,-1601.2164975702763
survivor_024_basin_024_nma_bh_candidate_474_gencluster_474_conf_085823_implicit_min_hop_003_mode01_m1.35A_implicit_min,17.70248794555664,72.43614959716797,378.5921936035156,-404.24464988708496,-1648.7495975494385,-1584.2636022269726
survivor_025_basin_025_nma_bh_candidate_2700_gencluster_2700_conf_032512_implicit_min_hop_002_mode02_p1.35A_implicit_min,16.5543212890625,68.27285766601562,376.2353210449219,-258.95712423324585,-1805.3976011276245,-1603.2923809289932
survivor_026_basin_026_candidate_2308_gencluster_2308_conf_178210_implicit_min,17.384239196777344,70.541259765625,357.39520263671875,-605.2219333648682,-1423.9410591125488,-1583.8415043354034
survivor_027_basin_027_nma_bh_candidate_3790_gencluster_3790_conf_043441_implicit_min_hop_002_mode02_p0.75A_implicit_min,17.660802841186523,74.02205657958984,372.53851318359375,-510.6934013366699,-1519.4381895065308,-1565.9111927747726
survivor_028_basin_028_nma_bh_candidate_9155_gencluster_4253_conf_476040_implicit_min_hop_002_mode01_p0.75A_implicit_min,17.93840980529785,62.03614807128906,375.3631286621094,-337.1750650405884,-1703.862428188324,-1585.6998263597488
survivor_029_basin_029_candidate_5856_gencluster_356_conf_450408_implicit_min,18.13686180114746,63.512123107910156,362.02349853515625,-524.9188709259033,-1510.4793195724487,-1591.7259112596512
survivor_030_basin_030_candidate_3971_gencluster_3971_conf_003594_implicit_min,17.810781478881836,69.09135437011719,366.85894775390625,-467.2690620422363,-1572.1784954071045,-1585.6867926120758
survivor_031_basin_031_nma_bh_candidate_8432_gencluster_3489_conf_102127_implicit_min_hop_003_mode02_m1.35A_implicit_min,18.12044334411621,81.44581604003906,364.89715576171875,-655.3173446655273,-1418.4319467544556,-1609.2858018875122
survivor_032_basin_032_candidate_490_gencluster_490_conf_013805_implicit_min,18.834270477294922,67.14181518554688,362.0986328125,-471.31714057922363,-1579.0957622528076,-1602.3388600051403
survivor_033_basin_033_candidate_4041_gencluster_4041_conf_021911_implicit_min,20.75126075744629,89.02989196777344,382.7589111328125,-549.0640687942505,-1532.9224252700806,-1589.4467361867428
survivor_034_basin_035_candidate_7594_gencluster_2543_conf_686175_implicit_min,19.25248146057129,71.61705780029297,375.5692138671875,-663.4004983901978,-1396.5610857009888,-1593.5229091644287
survivor_035_basin_036_nma_bh_candidate_7127_gencluster_1967_conf_711508_implicit_min_hop_000_mode02_p1.35A_implicit_min,19.200397491455078,77.83374786376953,368.560791015625,-395.31155586242676,-1651.5121746063232,-1581.2287023067474
