seed,torsion_psi1,torsion_psi2,torsion_psi3,torsion_psi4,torsion_psi5,torsion_psi6,ca_drmsd_psi1,ca_drmsd_psi2,ca_drmsd_psi3,ca_drmsd_psi4,ca_drmsd_psi5,ca_drmsd_psi6
survivor_000_basin_000_candidate_2765_gencluster_851_conf_166340_implicit_min,0.03177584907693112,-0.015451076777126782,0.006850789895309279,-0.02886926660729271,0.014544824503484939,-0.025645163142974898,0.018687159458907105,-0.012743439128017888,0.012964767527355137,-0.0030251050499495134,0.003664524729659526,-0.05363392534986684
survivor_001_basin_001_candidate_1629_gencluster_1629_conf_005682_implicit_min,-0.033210811081398714,0.0233133914264796,0.00653667997468471,0.023106946406251713,0.026039416363488235,0.014842103084105811,-0.04377073898517626,0.005323850058490017,-0.0046860446065011664,-0.002251536419957299,0.027687509030985852,-0.009136258726773686
survivor_002_basin_002_nma_bh_candidate_2492_gencluster_473_conf_171315_implicit_min_hop_002_mode02_m1.35A_implicit_min,0.05189279388185203,-0.004247914539505102,-0.023420669045927142,0.010345642162178762,-0.01072453434703473,-0.008718207795823458,0.009391974095392462,-0.021216334296046958,-0.03391688985915746,-0.026526142435671918,-0.009400260275830826,0.002996738194234363
survivor_003_basin_003_nma_bh_candidate_323_gencluster_323_conf_140845_implicit_min_hop_002_mode02_m0.75A_implicit_min,-0.006094406021588491,-0.015142082740803552,-0.023258116247476646,0.008819388767232868,-0.03280875123735577,-0.02196804605530415,0.024488490799058186,0.025373927152560972,-0.008337331064257261,0.03555546102744694,0.019059609660631416,-0.00026959313995241017
survivor_004_basin_004_nma_bh_candidate_2863_gencluster_967_conf_115824_implicit_min_hop_000_mode02_p0.75A_implicit_min,-0.010629121862353147,-0.030703717619921536,0.00797998860949389,0.022544511743469435,-0.009758971808438157,-0.02938594485999135,-0.017727745188671342,0.003937788690611539,-0.021422264978442945,0.044243819310869084,-0.01436412265859432,0.0023168945324552517
survivor_005_basin_005_explore_r02_hit_0010_conf_049019_implicit_min,0.03670494757002207,-0.0034894802235411796,0.009513915417200964,0.047365065229315696,-0.002176688131563702,-0.006692023751333903,0.02497253621184244,-0.011640810133250936,-0.03397844850532766,0.018937570338283114,-0.009466523314630684,0.02488710282026263
survivor_006_basin_006_nma_bh_candidate_2683_gencluster_750_conf_033714_implicit_min_hop_002_mode02_m1.35A_implicit_min,-0.008596739562038797,0.014346986559884723,-0.01958539142488194,-0.004952538536756875,0.025585597266368325,-0.025715463282197384,-0.011003323288624788,-0.01383419946003118,0.01784562491615044,-0.019495962155002173,0.014090681448364058,-0.03860187196730632
survivor_007_basin_007_nma_bh_candidate_484_gencluster_484_conf_150688_implicit_min_hop_002_mode01_p1.35A_implicit_min,-0.0024709471834794394,0.04457694326360947,0.005816162474414991,-0.0022765187049167473,0.039218063789153705,-0.011411357293971698,0.015798063654905464,-0.03343241061384889,-0.01355833406224689,0.02525809748953525,0.021111527072071246,0.025240543920766936
survivor_008_basin_008_nma_bh_candidate_1187_gencluster_1187_conf_135333_implicit_min_hop_002_mode01_m0.75A_implicit_min,-0.04353925713339048,-0.0026835135971243437,0.0028613856933289872,0.004689083064448402,0.029011849008242892,-0.025276265513049175,-0.062349036765163526,-0.002975902017832044,-0.007341518397513413,0.0268491976308778,-0.03536756588092195,-0.012139329126256019
survivor_009_basin_009_candidate_2692_gencluster_762_conf_086462_implicit_min,-0.01014789758314893,-0.009813854441840925,-0.010444293106015148,-0.009195724835903397,0.02630471171941027,-0.017078234274849793,-0.039745284301937446,-0.020283252171975803,-0.0040216026655134195,0.006950258925352943,-0.04435495367975729,-0.00785373143998313
survivor_010_basin_010_candidate_1138_gencluster_1138_conf_004095_implicit_min,-0.005201916294005341,-0.030033925606855808,-0.006594658015016455,-0.01523617017749744,-0.012387188013459392,0.009257670639453363,-0.00477925555970408,0.003866005757217858,-0.010658590584649444,-0.02963948854658793,0.00025853637467712566,0.0366865733268412
survivor_011_basin_011_nma_bh_candidate_896_gencluster_896_conf_007510_implicit_min_hop_002_mode02_m0.75A_implicit_min,0.012568894051330404,0.012894894462920418,-0.029936929554766335,0.0026268771350720084,0.0015167654842732688,-0.013439228540021716,0.011123437530665218,0.029122296238166454,0.045217423563339354,-0.008536048767435684,-0.015148189868945722,-0.016633665031813932
survivor_012_basin_012_candidate_1190_gencluster_1190_conf_082473_implicit_min,0.009716609425733571,-0.03948725767786188,-0.004740541452157664,-0.005525902580611704,-0.014466264271744394,-0.046824565379439756,0.009479297197658736,0.006569989536481575,-0.008238068421086422,0.04386169402447198,0.005400462739525255,-0.006444221106226511
survivor_013_basin_013_candidate_1379_gencluster_1379_conf_043815_implicit_min,0.03338222629331507,0.0025679387089312263,-0.025033022991421492,-0.02294282015314901,0.02185782241146448,0.01916229628113697,0.019533015238247606,0.0059569929898320596,-0.0024488516587058565,-0.033163460381406405,0.01040593010803966,-0.0390209251916895
survivor_014_basin_014_explore_r05_hit_0049_conf_001590_implicit_min,0.036879325397395454,-0.0430878179759596,0.004198931185161859,-0.010391985977754325,-0.022386919764702088,0.015481966836309395,0.03196909655034223,-0.006440374588018057,-0.02857726514103581,-0.0010512210200205108,0.0004974763686547128,-0.014385687445870066
survivor_015_basin_015_nma_bh_candidate_2397_gencluster_351_conf_182360_implicit_min_hop_003_mode02_m1.35A_implicit_min,0.017680362137718442,-0.013531153019606237,0.00253672176860976,-0.04787988962505698,0.0443350997546871,-0.00358601098943091,0.026082180244770457,-0.0109314813100227,0.038245018916817294,-0.006623820262343722,0.006013835783131226,-0.02759818633876727
survivor_016_basin_016_candidate_1079_gencluster_1079_conf_006890_implicit_min,0.018937300679238888,-0.04828902537915658,0.0032555305357792053,0.00022540773782238953,-0.016965102748733675,0.037960095192804015,0.01527766030701664,0.006564487483947661,-0.0022752795126855917,-0.029424060086814367,-0.00571654697434032,-0.02288925275530826
survivor_017_basin_017_nma_bh_candidate_2492_gencluster_473_conf_171315_implicit_min_hop_000_mode01_p1.35A_implicit_min,0.0440481357358251,-0.01834187588975562,-0.016593520920871813,-0.014235080223908065,0.001971409699547814,-0.005637664479736807,0.008704323303293349,-0.03031708045373048,-0.038027738681163256,-0.03685017006808848,-0.005088599991354332,-0.007347900912436344
survivor_018_basin_018_candidate_1176_gencluster_1176_conf_003581_implicit_min,-0.028297723182882654,-0.008496168698079318,-0.009715969656493273,-0.03522629305487778,0.020288032184275218,0.03338198861918926,-0.04748635559933157,-0.008048446013955107,-0.0020849663532879316,-0.005486590181208518,0.011651276029495797,-0.032659013514519185
survivor_019_basin_019_nma_bh_candidate_2863_gencluster_967_conf_115824_implicit_min_hop_001_mode02_p1.35A_implicit_min,-0.015566648246861348,-0.027746006285023928,1.2027736022351179e-05,0.030700392847353056,-0.015604782953538914,-0.02773997284314719,-0.022616512254432272,0.0047465373321228365,-0.013045406547621716,0.022947115789154086,-0.012315205319609555,-0.0017382008824284683
survivor_020_basin_020_candidate_2176_gencluster_077_conf_037512_implicit_min,-0.013228219584588453,-0.025025055482845,-0.023177578856909974,-0.023134361337067404,0.006310841570905286,-0.03237939739995233,-0.041221902834121166,-0.01672859766689115,0.008073837418119633,-0.0104134571690128,-0.01193711581244997,-0.027023429287900625
survivor_021_basin_021_nma_bh_candidate_1822_gencluster_1822_conf_005041_implicit_min_hop_000_mode02_m0.75A_implicit_min,-0.00659602400584132,-0.033778324274512654,0.029839660273830993,-0.003988491868590527,0.03019553129761761,-0.045222048367091774,-0.037883451986374064,-0.02200926232276745,-0.02553934297132155,0.05385222021899566,-0.01634648910732908,-0.023162431783434627
survivor_022_basin_022_candidate_2132_gencluster_024_conf_197987_implicit_min,0.0009770965684289894,-0.006002704038454927,-0.012982205603415271,-0.014015357032816563,0.014411322593181577,-0.009669940505168702,-0.022040976519172747,-0.0344339936072584,-0.015393986248675958,-0.00950880823818617,0.01145171114632458,-0.0412702191017775
survivor_023_basin_023_nma_bh_candidate_2537_gencluster_535_conf_063339_implicit_min_hop_000_mode01_m1.35A_implicit_min,0.021035946342941328,-0.04869718941966317,0.003813741607931286,-0.02158868284049439,-0.009034277215717715,-0.004742213511769588,0.0034397717017620403,-0.004016523182544591,-0.033662351689692165,-0.010194720232319977,0.004862260454967014,-0.011478853185527944
survivor_024_basin_024_nma_bh_candidate_2149_gencluster_045_conf_000812_implicit_min_hop_000_mode01_p0.75A_implicit_min,-0.0020870211420794616,0.009206042985606034,-0.011464905710396753,0.05217817379010514,0.007794258858118915,-0.04399660745628119,0.011380989066984981,0.018895024727714788,-0.013999978022294265,0.02632967949842052,0.03393974840652128,0.026281858382459687
survivor_025_basin_026_nma_bh_candidate_109_gencluster_109_conf_041191_implicit_min_hop_001_mode02_m0.75A_implicit_min,0.010676622728743843,-0.016512231099461115,-0.04603591503913836,-0.012653092288391291,0.04057628000971204,0.013746384191748949,0.00011807683185673015,-0.023626400231895602,-0.014412203967908823,-0.019144194482089046,0.03763547180970165,0.006727353278115718
survivor_026_basin_027_nma_bh_candidate_703_gencluster_703_conf_042424_implicit_min_hop_003_mode02_m0.75A_implicit_min,-0.014964214649511915,0.005257609689413524,0.040135939090283596,-0.011859295690166862,0.006033925750444995,0.009896798662711214,0.011565276779702245,-0.0021234283223964825,0.018853383806446036,0.016491226837338707,-0.011800081395365262,0.05327887692305021
survivor_027_basin_028_candidate_1674_gencluster_1674_conf_194930_implicit_min,-0.049709750993941294,0.0051203705716938025,-0.004472993369836352,-0.040209158830681074,-0.03010334078076767,-0.008935666864617416,-0.009080200579684861,-0.0028827741427575474,0.06208710931928686,-0.00031989421796407456,0.01779007240291727,0.02973981960049348
survivor_028_basin_029_explore_r01_hit_0042_conf_007863_implicit_min,-0.008206224342155517,0.0022662898623284594,-0.012748549548983055,-0.026551554605205852,-0.013291555514379912,-0.02593058367719381,-0.02052386393148764,-0.04480451462798711,-0.0073808758925163285,0.01235062154923527,-0.03191888625530234,-0.023328452178283287
survivor_029_basin_030_nma_bh_candidate_369_gencluster_369_conf_030202_implicit_min_hop_001_mode02_p1.35A_implicit_min,-0.008702496474531748,0.003679574804517175,0.03416194115856914,-0.017971622261518043,0.04135387818028087,0.03002195898353221,0.010227472217555742,-0.024367022168831885,0.03151074667330745,-0.0005945317073969294,0.03611113669900924,-0.013916733766379523
survivor_030_basin_031_nma_bh_candidate_2548_gencluster_554_conf_187437_implicit_min_hop_001_mode02_m0.75A_implicit_min,-0.03432073847837545,-0.021677345653205303,0.002554931248357349,-0.005308167095456491,-0.015885196481086827,0.023066850336326924,-0.03434952463310301,0.050371141230249154,0.0059770664225818,0.02802556265924811,0.016646890277518995,-0.01384334616416391
survivor_031_basin_032_nma_bh_candidate_2190_gencluster_093_conf_183542_implicit_min_hop_002_mode01_m0.75A_implicit_min,0.036397742831699,0.007431839748977588,-0.006664030483474927,-0.020132078103911457,-0.002230179374629193,-0.02610576901052677,0.03542280790790068,0.002239280431904,0.02041129851301684,0.018764827964685923,-0.0362602873665805,-0.024030159726241573
survivor_032_basin_033_candidate_1323_gencluster_1323_conf_176407_implicit_min,-0.0036791313182123666,-0.006390811225020857,0.03241898274563945,0.025172674501330643,-0.05577347682368663,-0.006454169218946554,0.011618410357155457,0.03684509508654622,0.010489959298182527,-0.0035026694555047523,-0.031009123326716202,0.018246652895380643
survivor_033_basin_034_nma_bh_candidate_2478_gencluster_456_conf_103120_implicit_min_hop_003_mode01_p1.35A_implicit_min,-0.03246619569080363,-0.0003952563801374293,0.007134106713668512,-0.017603465867952393,0.03394683607068113,0.005362847364860692,-0.004345335662406501,-0.026745263615462218,0.03312925277300958,0.019435053194660344,0.027203277673257767,0.018865331560848433
survivor_034_basin_035_nma_bh_candidate_2684_gencluster_753_conf_185631_implicit_min_hop_002_mode01_m0.75A_implicit_min,-0.00046824521481054956,-0.017654412229506644,-0.013532450846888403,0.03567081094174226,0.03241257680341242,0.035167827726020874,0.006763634321591487,-0.01573006195783464,-0.019577530497943092,0.015814385279836037,0.0011680580110701331,0.03100168784849824
survivor_035_basin_036_nma_bh_candidate_2457_gencluster_433_conf_149315_implicit_min_hop_000_mode02_m1.35A_implicit_min,0.0062649877766933855,0.02482848017790281,0.01849635922879462,0.04695731540309661,-0.03063607174607385,0.03180010424370041,0.01916357569607444,0.004130442041109639,-0.023589972253148295,0.003734082164755907,-0.0020295392632572714,0.043163445020434274
survivor_036_basin_037_nma_bh_candidate_2328_gencluster_260_conf_086582_implicit_min_hop_000_mode02_p1.35A_implicit_min,0.029013248156739856,0.022689227113652382,-0.005084100759245462,0.00684994374812983,-0.031487363246516534,-0.0029829582812480253,0.013632537976156264,0.015016838070597787,-0.01858074310835244,-0.039653384915399326,0.006201448417894755,0.02383435378557568
survivor_037_basin_038_candidate_1716_gencluster_1716_conf_008066_implicit_min,0.0381291358317109,-0.0417464657057222,-0.002486543536137724,-0.016272139748717874,-0.02195691269408871,0.013767912268434698,0.029382292702524654,0.004014195576504836,-0.018542384718657257,-0.015759732736156336,-0.01118036203593914,-0.026744693415912447
survivor_038_basin_039_candidate_2378_gencluster_324_conf_089792_implicit_min,0.011986041597216165,0.010198658401971799,0.009878436739503895,0.03263105041160877,0.0019589002464737606,0.025254071153446467,0.012687850699893435,0.008350822281867917,-0.023827364634676308,-0.010647402988879971,0.018226135973827485,0.030173764284295527
survivor_039_basin_040_candidate_677_gencluster_677_conf_049043_implicit_min,-0.02144925406533824,-0.004595513458679244,0.05235109541135548,0.013662076410648802,-0.0421436745613075,-0.002110813589975365,-0.003599164317204291,0.024959915954797844,0.0052071305134956825,0.009180936357322212,-0.04076624873568544,0.02757455795435473
survivor_040_basin_041_nma_bh_candidate_109_gencluster_109_conf_041191_implicit_min_hop_002_mode01_p1.35A_implicit_min,0.024086610664083866,-0.015818524367560594,-0.03968940752724621,0.014525895656580199,-0.0024041639973089975,0.030316959746049733,-0.0016305480753524139,-0.0024836235733640393,-0.036247671224176846,-0.03582613542167602,0.0216511761016367,0.008650957327797046
survivor_041_basin_042_candidate_2111_gencluster_001_conf_166685_implicit_min,-0.03712663803451493,-0.022242205716715556,0.006372952420870914,0.04448613201489751,-0.0012197209085923267,0.0055851713612656805,-0.029750796732877,0.010443626225198505,0.004511463362698732,0.011868404394527084,0.014103750369235812,0.04979118323900277
survivor_042_basin_043_candidate_360_gencluster_360_conf_035303_implicit_min,-0.002724243164476474,-0.052177341328055814,0.009891605672039738,0.002975922968807822,-0.018295859885838303,0.006937800119957754,0.016383237178515298,0.028482779605516317,0.01821562047188424,0.00463764111118322,-0.02662724985182506,-0.010912996872053247
