seed,bond,angle,torsion,nonbonded,gb_solvation,total
survivor_1042_basin_1059_candidate_2246_gencluster_163_conf_174102_implicit_min,17.904911041259766,78.28657531738281,445.95013427734375,-380.36408615112305,-1668.0935859680176,-1506.316867262125
survivor_1043_basin_1060_explore_r02_hit_0045_conf_048484_implicit_min,16.027992248535156,72.62919616699219,365.1275939941406,-664.0530414581299,-1395.0786142349243,-1605.3462810516357
survivor_1044_basin_1061_nma_bh_candidate_858_gencluster_858_conf_004120_implicit_min_hop_003_mode02_m1.35A_implicit_min,19.195186614990234,76.02620697021484,399.767578125,-545.9896230697632,-1518.5053000450134,-1569.5061693191528
survivor_1045_basin_1062_nma_bh_candidate_1114_gencluster_1114_conf_035202_implicit_min_hop_000_mode01_p0.75A_implicit_min,16.836570739746094,73.27789306640625,375.4662780761719,-636.7218332290649,-1458.4181699752808,-1629.5586321502924
survivor_1046_basin_1063_candidate_1730_gencluster_1730_conf_006405_implicit_min,15.49279499053955,60.15943145751953,360.2839660644531,-480.99048805236816,-1557.6251010894775,-1602.679535150528
survivor_1047_basin_1064_nma_bh_candidate_694_gencluster_694_conf_053743_implicit_min_hop_000_mode01_m0.75A_implicit_min,19.60015869140625,62.586769104003906,379.5010986328125,-479.84155464172363,-1565.1167430877686,-1583.2705278396606
survivor_1048_basin_1065_candidate_1236_gencluster_1236_conf_004515_implicit_min,18.691207885742188,85.97982025146484,357.62591552734375,-475.97732067108154,-1576.3921756744385,-1590.0737717598677
survivor_1049_basin_1066_candidate_2082_gencluster_2082_conf_065630_implicit_min,17.841245651245117,65.67021179199219,403.89141845703125,-719.438554763794,-1412.118537902832,-1644.1541631817818
survivor_104_basin_107_nma_bh_candidate_2537_gencluster_535_conf_063339_implicit_min_hop_001_mode02_m1.35A_implicit_min,17.467973709106445,69.86337280273438,344.60595703125,-458.2440404891968,-1596.0473880767822,-1622.3547867834568
survivor_1050_basin_1067_nma_bh_candidate_249_gencluster_249_conf_007818_implicit_min_hop_000_mode02_p1.35A_implicit_min,17.434690475463867,69.40116882324219,362.22491455078125,-197.60821533203125,-1840.4739246368408,-1589.0213958323002
survivor_1051_basin_1068_nma_bh_candidate_2683_gencluster_750_conf_033714_implicit_min_hop_000_mode02_p0.75A_implicit_min,17.615440368652344,68.07177734375,369.5244140625,-467.36735343933105,-1562.8324041366577,-1574.9883074611425
survivor_1052_basin_1069_nma_bh_candidate_1306_gencluster_1306_conf_001572_implicit_min_hop_002_mode02_p1.35A_implicit_min,21.429515838623047,74.74766540527344,368.73779296875,-568.1835432052612,-1497.8991327285767,-1601.1671850681305
survivor_1053_basin_1070_candidate_574_gencluster_574_conf_054760_implicit_min,18.463972091674805,77.27774047851562,364.2151794433594,-514.199291229248,-1583.5781078338623,-1637.820468902588
survivor_1054_basin_1071_explore_r04_hit_0049_conf_038758_implicit_min,16.699935913085938,64.7470703125,388.29974365234375,-536.4253158569336,-1506.6772327423096,-1573.3556519150734
survivor_1055_basin_1073_candidate_1531_gencluster_1531_conf_002079_implicit_min,18.806961059570312,86.53998565673828,364.60943603515625,-539.2684755325317,-1524.207971572876,-1593.519713819027
survivor_1056_basin_1074_candidate_1815_gencluster_1815_conf_005311_implicit_min,15.251134872436523,53.93621826171875,374.44293212890625,-393.1086149215698,-1638.4431252479553,-1587.9218167960644
survivor_1057_basin_1075_candidate_2977_gencluster_1112_conf_060532_implicit_min,19.385074615478516,73.22926330566406,367.1880798339844,-643.0729837417603,-1429.6370124816895,-1612.9079222381115
survivor_1058_basin_1076_nma_bh_candidate_807_gencluster_807_conf_049347_implicit_min_hop_003_mode01_m0.75A_implicit_min,17.725337982177734,73.33778381347656,359.1095275878906,-556.272668838501,-1502.354302406311,-1608.4541554152966
survivor_1059_basin_1077_candidate_1294_gencluster_1294_conf_009186_implicit_min,16.98475456237793,74.73555755615234,390.224853515625,-599.8607263565063,-1478.6301679611206,-1596.5450185537338
survivor_105_basin_108_explore_r01_hit_0046_conf_021070_implicit_min,18.099340438842773,66.67933654785156,372.6986083984375,-266.08408308029175,-1773.6318984031677,-1582.2389389574528
survivor_1060_basin_1078_nma_bh_candidate_1549_gencluster_1549_conf_001708_implicit_min_hop_001_mode01_m0.75A_implicit_min,18.777984619140625,78.5594482421875,357.60406494140625,-494.8506784439087,-1591.4382195472717,-1631.3479354977608
