seed
survivor_1185_basin_1205_candidate_2472_gencluster_450_conf_157167_implicit_min
survivor_1633_basin_1660_nma_bh_candidate_2577_gencluster_598_conf_071976_implicit_min_hop_002_mode01_m0.75A_implicit_min
survivor_1871_basin_1900_candidate_2808_gencluster_900_conf_137777_implicit_min
survivor_1902_basin_1932_candidate_1354_gencluster_1354_conf_125315_implicit_min
survivor_1291_basin_1312_candidate_769_gencluster_769_conf_173034_implicit_min
survivor_1465_basin_1491_explore_r02_hit_0050_conf_029702_implicit_min
survivor_895_basin_910_candidate_2285_gencluster_206_conf_194679_implicit_min
survivor_1249_basin_1270_candidate_1105_gencluster_1105_conf_116483_implicit_min
survivor_177_basin_181_candidate_1027_gencluster_1027_conf_119043_implicit_min
survivor_1551_basin_1577_candidate_812_gencluster_812_conf_036050_implicit_min
survivor_122_basin_125_candidate_399_gencluster_399_conf_040161_implicit_min
survivor_1856_basin_1885_nma_bh_candidate_1920_gencluster_1920_conf_068917_implicit_min_hop_001_mode02_p1.35A_implicit_min
survivor_335_basin_341_nma_bh_candidate_2739_gencluster_819_conf_086560_implicit_min_hop_002_mode01_m1.35A_implicit_min
survivor_943_basin_958_candidate_903_gencluster_903_conf_000096_implicit_min
survivor_033_basin_034_nma_bh_candidate_2478_gencluster_456_conf_103120_implicit_min_hop_003_mode01_p1.35A_implicit_min
survivor_1707_basin_1735_nma_bh_candidate_2364_gencluster_303_conf_151536_implicit_min_hop_001_mode01_p0.75A_implicit_min
