replica,step,cv2
0,8918250,0.12252401560544968
0,9019000,0.12024056166410446
0,9053250,0.13416928052902222
0,9101250,0.1291837841272354
0,9188500,0.12188699096441269
0,9307000,0.1192576065659523
0,9416750,0.1254701316356659
1,8872500,0.12427744269371033
6,7932250,0.11023588478565216
6,8081250,0.1331920325756073
6,8180750,0.12715260684490204
13,8088500,0.12214433401823044
13,8241500,0.12119024991989136
13,8355750,0.10188877582550049
13,8712500,0.11012637615203857
16,5900500,0.11324238777160645
16,5947250,0.1218213215470314
16,8492000,0.12991863489151
16,8551500,0.11590229719877243
16,8673250,0.10294084250926971
16,8705250,0.1351616084575653
16,8953500,0.1198003739118576
16,8978500,0.12361536920070648
17,7312250,0.11301403492689133
20,6614250,0.12762509286403656
20,6679750,0.12317501753568649
20,6756500,0.12560969591140747
20,6837000,0.13362984359264374
20,6878500,0.11577150225639343
20,8411000,0.1230759471654892
20,8902000,0.11878924816846848
20,8952250,0.12078118324279785
20,9060500,0.12853068113327026
20,9130500,0.1050402820110321
20,9179000,0.11975009739398956
20,9233750,0.13338355720043182
20,9334000,0.13089300692081451
20,9375750,0.11869080364704132
20,9391000,0.09143366664648056
20,9416750,0.10868210345506668
22,5849250,0.10132686793804169
22,5935000,0.1125611811876297
22,6452750,0.1122075766324997
22,6521000,0.13007502257823944
22,6631500,0.11971253156661987
22,6776000,0.1231604665517807
23,5849250,0.08318688720464706
23,6164500,0.11722482740879059
23,6310250,0.10641992837190628
33,4313250,0.13247250020503998
33,4376250,0.1308131217956543
35,3109000,0.13505777716636658
47,3245750,0.13351066410541534
47,3854750,0.12354344129562378
47,3876500,0.1272672414779663
