step,replica,window,cv_A,rg_A,umbrella_mbar_weight,gamd_exponential_weight
1010500,0,0,0.172205850481987,8.287054634670637,1.3976551168753685e-06,8.086914945669317e-11
1010500,1,1,0.15876109898090363,8.868011631312845,9.253789347794537e-08,3.2097474499318617e-10
1010500,2,9,0.17999890446662903,8.567383809491327,5.317189545904988e-07,9.407560009867612e-09
1010500,3,2,0.10346809029579163,8.92838547554765,5.484044515063896e-10,4.093213974967934e-12
1010500,4,4,0.19572827219963074,8.379439780780372,3.7468828567629734e-08,2.167968521574168e-12
1010500,5,3,0.14235524833202362,8.164753334715918,2.0934992707323856e-11,1.5604486732492563e-14
1010500,6,11,0.1989002376794815,8.433016752361235,7.813633712770299e-11,7.970683092004577e-14
1010500,7,7,0.16589808464050293,8.402898161774791,2.031452153801795e-09,2.8914786799475807e-10
1010500,8,8,0.15637926757335663,8.76926869834153,7.994948197706133e-07,4.6259241846747413e-11
1010500,9,5,0.15405666828155518,8.895245658852724,5.018084961965618e-08,1.436755556828246e-10
1010500,10,6,0.16234026849269867,8.694888665691996,2.5292578655149674e-09,1.9846741435872788e-11
1010500,11,10,0.21870826184749603,8.389607315593917,6.002386068651208e-09,1.330715475076297e-09
1010500,12,12,0.31511032581329346,7.153293357179234,6.580614181933969e-08,3.8075821808271266e-12
1010500,13,13,0.3220076262950897,7.368220981845788,3.73429901315428e-08,4.7109979652643894e-11
1010500,14,15,0.2960422933101654,7.344163110948672,7.409018542752315e-11,1.363434327694185e-13
1010500,15,14,0.27502575516700745,7.869872806121792,1.3345201456117085e-08,5.4961766277354934e-09
1010500,16,21,0.37474116683006287,7.323617950750348,8.12260648068215e-08,1.2487483694582802e-10
1010500,17,17,0.3523634076118469,7.617818875461754,4.696139976296506e-09,2.735294168449408e-12
1010500,18,18,0.3463594615459442,7.655297123687953,2.562336378697094e-08,2.0484466767827058e-08
1010500,19,26,0.38852187991142273,7.384431923056719,7.009579014298112e-08,7.756163730624709e-09
1010500,20,20,0.383480966091156,7.465072816623221,1.95871902965328e-06,1.1333263838851952e-10
1010500,21,16,0.32140517234802246,7.906021750807245,1.3405562940934044e-06,7.756537789130216e-11
1010500,22,22,0.3619937300682068,7.964770313793087,6.959570147792963e-07,3.451839670942335e-05
1010500,23,19,0.3494558334350586,7.811108557996808,1.1937250948428164e-08,3.998898504208552e-09
1010500,24,24,0.4413997530937195,7.304985972470904,1.1663211946853688e-06,6.74840322685489e-11
1010500,25,25,0.38967499136924744,7.641006620674361,2.3903909691242744e-07,6.248977076155294e-10
1010500,26,23,0.349330335855484,7.77902946287565,1.0961417434041813e-08,7.113190132125536e-10
1010500,27,31,0.4622318744659424,6.884099618588948,3.9313617703516414e-08,1.834701312345674e-08
1010500,28,28,0.4543890058994293,6.404455640022766,7.7245637364645e-07,4.469478140561921e-11
1010500,29,29,0.44164377450942993,6.960610508162706,2.0120963432225618e-07,9.48851815026441e-10
1010500,30,30,0.45733842253685,6.9054741919802956,1.3965615880049525e-09,3.261915779009445e-12
1010500,31,27,0.40952786803245544,7.092886842708793,5.760816390222215e-10,1.547725111942802e-10
1010750,0,0,0.17536120116710663,8.287054634670637,1.386921216055564e-06,8.02480796239644e-11
1010750,1,1,0.14278964698314667,8.868011631312845,3.2635437309644994e-07,6.469386717781479e-09
1010750,2,9,0.15288211405277252,8.567383809491327,1.4243091930242987e-07,3.973916922244285e-10
1010750,3,2,0.07791430503129959,8.92838547554765,2.4198912809761217e-08,3.0313183824255815e-09
1010750,4,4,0.1948791742324829,8.379439780780372,1.4710246801973554e-07,8.511435566687955e-12
1010750,5,3,0.1581750065088272,8.164753334715918,2.0418297220053205e-11,1.2039044538470749e-14
1010750,6,11,0.19217480719089508,8.433016752361235,7.631866778661933e-11,3.845726379001898e-14
1010750,7,7,0.1713426262140274,8.402898161774791,2.797045448920337e-11,9.122827411127238e-14
1010750,8,8,0.18722377717494965,8.76926869834153,2.681371836192014e-07,1.551457560251003e-11
1010750,9,5,0.16665756702423096,8.895245658852724,2.1007268206631565e-07,1.0943108283045239e-09
1010750,10,6,0.1538057029247284,8.694888665691996,3.5852254682666536e-10,4.1659906380291203e-13
1010750,11,10,0.21964159607887268,8.389607315593917,5.566740513402322e-10,1.3364943702828884e-13
1010750,12,12,0.28961193561553955,7.153293357179234,1.796108633406087e-07,1.0392390494737887e-11
1010750,13,13,0.32274505496025085,7.368220981845788,8.473613092579828e-08,2.739901577205733e-10
1010750,14,15,0.3132089078426361,7.344163110948672,2.8368038869481562e-11,8.706723387956542e-14
1010750,15,14,0.25451937317848206,7.869872806121792,2.822999173243327e-10,3.414303882065288e-13
1010750,16,21,0.35867875814437866,7.323617950750348,1.8339579982290836e-07,8.969749452231856e-10
1010750,17,17,0.3471585810184479,7.617818875461754,4.262560793343652e-07,6.37539448801166e-09
1010750,18,18,0.3614148199558258,7.655297123687953,2.5804114802209946e-08,2.4695463138329324e-09
1010750,19,26,0.3874455392360687,7.384431923056719,2.939130561524341e-07,4.716829571524277e-06
1010750,20,20,0.36030399799346924,7.465072816623221,5.685154953534326e-07,3.289464189489488e-11
1010750,21,16,0.3356325626373291,7.906021750807245,1.304971714601226e-06,7.55064331326411e-11
1010750,22,22,0.36101141571998596,7.964770313793087,4.378900322296796e-09,4.043607051977383e-10
1010750,23,19,0.34867727756500244,7.811108557996808,1.3701935260347905e-08,6.541700532284637e-08
1010750,24,24,0.4000566005706787,7.304985972470904,1.230070565366504e-06,7.11726084581516e-11
1010750,25,25,0.3669154942035675,7.641006620674361,1.4177289195324311e-06,2.5244889484653036e-07
1010750,26,23,0.3606865704059601,7.77902946287565,3.128362336240879e-08,3.2820873664244576e-07
1010750,27,31,0.4570296108722687,6.884099618588948,1.8556017121108972e-08,3.881367484140708e-07
1010750,28,28,0.4441947937011719,6.404455640022766,2.0770856627902503e-06,1.2018140159931724e-10
1010750,29,29,0.4394786059856415,6.960610508162706,6.13186286199871e-08,5.010715367237877e-11
1010750,30,30,0.4599340558052063,6.9054741919802956,1.1404694414537946e-09,2.69362962046112e-12
1010750,31,27,0.3911123275756836,7.092886842708793,1.337741070098892e-09,7.946737168776949e-12
1010750,32,32,0.49188172817230225,6.597181905563931,1.6798115943490463e-06,9.719488967077732e-11
1010750,33,33,0.5158557891845703,7.164786887936097,1.5110004297434175e-06,1.0389390274057302e-07
1010750,34,34,0.5471784472465515,6.7837861042404155,7.199579484139898e-09,2.587455871135194e-11
1010750,35,35,0.4923398494720459,6.891349254888589,2.4796827630421623e-10,1.8041512710732346e-13
1010750,36,40,0.6873982548713684,6.235483496348212,9.606101460020087e-07,5.558146965492014e-11
1010750,37,37,0.582377016544342,6.719155492689798,4.83934436586027e-07,1.4843063281836927e-09
1010750,38,38,0.6066687703132629,6.349225074653471,5.237494713282287e-08,2.0235803866291105e-08
1010750,39,39,0.5805796980857849,6.633380237846294,3.779723822032802e-10,3.869542846759611e-13
1010750,40,36,0.6233025193214417,6.353945272125159,5.457221513917432e-07,3.15758055688228e-11
1010750,41,41,0.5726121664047241,6.455948282593912,3.7080081704623917e-09,1.0012024880496995e-12
1010750,42,43,0.6578392386436462,6.520371786887148,6.817814609764214e-10,2.4894396025632026e-12
1010750,43,42,0.6216309666633606,6.5753617952835075,1.1810064585593078e-08,4.946460228316855e-10
1010750,44,48,0.6783260703086853,6.08953663942412,2.2512282133780866e-07,1.3025739229274447e-11
1010750,45,46,0.6777333617210388,6.337401168677948,8.523537010272819e-10,5.067222595248658e-13
1010750,46,45,0.6500756740570068,6.183751460172298,4.791980093240436e-07,4.019507904678386e-09
