method,bin,rg_A,probability,pmf_kcal_mol,counts
umbrella_only,0,5.052111104040872,0.0007673876980554799,2.703672784418184,2497
umbrella_only,1,5.24489284834767,0.013651341841095331,0.9875623631031154,73331
umbrella_only,2,5.437674592654467,0.03492572040520716,0.42753697690859505,232275
umbrella_only,3,5.630456336961265,0.05077700231212672,0.2044414979137421,328741
umbrella_only,4,5.823238081268062,0.06249062107177771,0.08069454824859634,383240
umbrella_only,5,6.016019825574859,0.06646829113336829,0.04390631439974135,337341
umbrella_only,6,6.208801569881657,0.06660358335105264,0.04269409717584627,315439
umbrella_only,7,6.401583314188454,0.07087188381371651,0.005663292871213477,319829
umbrella_only,8,6.594365058495252,0.07154834623957435,0.0,315132
umbrella_only,9,6.78714680280205,0.06982186939691548,0.014561904845870277,303205
umbrella_only,10,6.979928547108847,0.07075167822462297,0.006675298694890586,294894
umbrella_only,11,7.172710291415645,0.06516988540894823,0.055667102028397863,273840
umbrella_only,12,7.3654920357224425,0.056433398170361214,0.14147636997402846,254584
umbrella_only,13,7.55827378002924,0.04985249194540443,0.21539599576164625,233294
umbrella_only,14,7.751055524336038,0.04420435943569045,0.28708145034464727,212923
umbrella_only,15,7.943837268642835,0.038448676644038594,0.37024543360925977,202821
umbrella_only,16,8.136619012949634,0.03234169225560576,0.4733617197259987,187454
umbrella_only,17,8.32940075725643,0.027025853406411678,0.5804103693157854,174950
umbrella_only,18,8.522182501563227,0.024772930857652257,0.6323016670058148,165266
umbrella_only,19,8.714964245870025,0.020890337676955965,0.7339261915322084,147837
umbrella_only,20,8.907745990176823,0.018668136205415454,0.8009756251603648,126028
umbrella_only,21,9.10052773448362,0.015722253520395173,0.9033609554491961,95372
umbrella_only,22,9.293309478790418,0.0121767374490174,1.0557098300604129,64013
umbrella_only,23,9.486091223097215,0.008086924907709478,1.2997060122305955,37431
umbrella_only,24,9.678872967404013,0.004434133422917996,1.657949069326467,18137
umbrella_only,25,9.87165471171081,0.0021005891620979925,2.1033497104673327,7153
umbrella_only,26,10.064436456017608,0.0007108324572225893,2.749312142822901,2466
umbrella_only,27,10.257218200324406,0.00020358725051838937,3.4947176840304204,601
umbrella_only,28,10.449999944631202,4.4505622006974046e-05,4.401168473096229,94
umbrella_only,29,10.642781688938001,3.494871411735553e-05,4.545280829471716,20
gamd_exponential,0,5.052111104040872,0.0005595498955428893,3.5494422694311787,2497
gamd_exponential,1,5.24489284834767,0.0343707207295776,1.094552884590102,73331
gamd_exponential,2,5.437674592654467,0.02103809067781343,1.3871908236173638,232275
gamd_exponential,3,5.630456336961265,0.007584202104710121,1.99543463481069,328741
gamd_exponential,4,5.823238081268062,0.2155529025629679,0.0,383240
gamd_exponential,5,6.016019825574859,0.00938003116817803,1.8687410200320291,337341
gamd_exponential,6,6.208801569881657,0.02640580302890314,1.2517136733454512,315439
gamd_exponential,7,6.401583314188454,0.043933742615515095,0.948208651529987,319829
gamd_exponential,8,6.594365058495252,0.03335443825374848,1.1124461978223479,315132
gamd_exponential,9,6.78714680280205,0.11839912638857103,0.3571870623747566,303205
gamd_exponential,10,6.979928547108847,0.13886111166178228,0.26215126843392,294894
gamd_exponential,11,7.172710291415645,0.08168570642306842,0.5784715821482564,273840
gamd_exponential,12,7.3654920357224425,0.03370261975409081,1.106255225546825,254584
gamd_exponential,13,7.55827378002924,0.04567699021627954,0.9250108087526236,233294
gamd_exponential,14,7.751055524336038,0.03317798887821774,1.1156083410450386,212923
gamd_exponential,15,7.943837268642835,0.017104754541631614,1.510583192845435,202821
gamd_exponential,16,8.136619012949634,0.01297235690338626,1.675443108880405,187454
gamd_exponential,17,8.32940075725643,0.031787119370631695,1.1411392541620098,174950
gamd_exponential,18,8.522182501563227,0.015286445485947694,1.577585728096066,165266
gamd_exponential,19,8.714964245870025,0.03153510226574616,1.1458846224898165,147837
gamd_exponential,20,8.907745990176823,0.009806881317766294,1.8422111106740313,126028
gamd_exponential,21,9.10052773448362,0.00996019022699123,1.832963542806764,95372
gamd_exponential,22,9.293309478790418,0.0062948575912837815,2.106519970112764,64013
gamd_exponential,23,9.486091223097215,0.01796104233823535,1.4814615314096529,37431
gamd_exponential,24,9.678872967404013,0.0012906186954790833,3.0512038865422273,18137
gamd_exponential,25,9.87165471171081,0.002136002663663981,2.7508492168825702,7153
gamd_exponential,26,10.064436456017608,0.00014419913950824967,4.357799669036914,2466
gamd_exponential,27,10.257218200324406,3.311145702378224e-05,5.2349412365229195,601
gamd_exponential,28,10.449999944631202,4.26950203125109e-06,6.456107359651565,94
gamd_exponential,29,10.642781688938001,2.4141707077873755e-08,9.541427705357119,20
gamd_cumulant2,0,5.052111104040872,0.0005179936700986103,2.9973252503143692,2497
gamd_cumulant2,1,5.24489284834767,0.004172968778962123,1.753482451477285,73331
gamd_cumulant2,2,5.437674592654467,0.020710985369937426,0.7984103047386031,232275
gamd_cumulant2,3,5.630456336961265,0.019768025861838935,0.8261905121714535,328741
gamd_cumulant2,4,5.823238081268062,0.02156317648212973,0.7743714046184851,383240
gamd_cumulant2,5,6.016019825574859,0.02412291787949977,0.7074968519810547,337341
gamd_cumulant2,6,6.208801569881657,0.03857502920047518,0.42763322229836276,315439
gamd_cumulant2,7,6.401583314188454,0.052514387962998114,0.24372817923533296,319829
gamd_cumulant2,8,6.594365058495252,0.06457563052935297,0.12047188592169422,315132
gamd_cumulant2,9,6.78714680280205,0.05948164059749848,0.16945810021339947,303205
gamd_cumulant2,10,6.979928547108847,0.05622548012857189,0.20302058889629104,294894
gamd_cumulant2,11,7.172710291415645,0.06679718989569323,0.10030738111985738,273840
gamd_cumulant2,12,7.3654920357224425,0.07903702846015068,0.0,254584
gamd_cumulant2,13,7.55827378002924,0.06285585423784072,0.13656408299305078,233294
gamd_cumulant2,14,7.751055524336038,0.04403801923993157,0.34867274655494196,212923
gamd_cumulant2,15,7.943837268642835,0.042326942526791034,0.37229832705692023,202821
gamd_cumulant2,16,8.136619012949634,0.04025099414954097,0.4022787528068126,187454
gamd_cumulant2,17,8.32940075725643,0.040870876016928896,0.39316760292242403,174950
gamd_cumulant2,18,8.522182501563227,0.04057987999839199,0.39742738649656784,165266
gamd_cumulant2,19,8.714964245870025,0.04337280110563456,0.3577467936251131,147837
gamd_cumulant2,20,8.907745990176823,0.032247008177943105,0.5344533320346734,126028
gamd_cumulant2,21,9.10052773448362,0.02616183277125198,0.659124775297329,95372
gamd_cumulant2,22,9.293309478790418,0.026194481691000977,0.658381253739998,64013
gamd_cumulant2,23,9.486091223097215,0.027270487236805637,0.6343820078529594,37431
gamd_cumulant2,24,9.678872967404013,0.032557096961154594,0.5287480040870982,18137
gamd_cumulant2,25,9.87165471171081,0.0186550593145368,0.8607370988255811,7153
gamd_cumulant2,26,10.064436456017608,0.011091815203174553,1.1706872603546825,2466
gamd_cumulant2,27,10.257218200324406,0.0033706357185709647,1.880778594765183,601
gamd_cumulant2,28,10.449999944631202,9.36679836204691e-05,4.016884191022912,94
gamd_cumulant2,29,10.642781688938001,9.284967400857321e-08,8.140251518172981,20
gamd_cumulant3,0,5.052111104040872,0.0004860006911867474,3.020095554762263,2497
gamd_cumulant3,1,5.24489284834767,0.0013216162173549462,2.4236954385093457,73331
gamd_cumulant3,2,5.437674592654467,0.003195360854691983,1.8973776557900004,232275
gamd_cumulant3,3,5.630456336961265,0.0034659190817709225,1.8489229669476333,328741
gamd_cumulant3,4,5.823238081268062,0.005005431480799486,1.6298064085870452,383240
gamd_cumulant3,5,6.016019825574859,0.008654947372767632,1.303344028295862,337341
gamd_cumulant3,6,6.208801569881657,0.020466720729008715,0.7902464500309871,315439
gamd_cumulant3,7,6.401583314188454,0.03057857990691437,0.5508879517364613,319829
gamd_cumulant3,8,6.594365058495252,0.03910708527461608,0.40422995310858534,315132
gamd_cumulant3,9,6.78714680280205,0.04223184153752435,0.35840254942313976,303205
gamd_cumulant3,10,6.979928547108847,0.05420149594298527,0.20964002140920668,294894
gamd_cumulant3,11,7.172710291415645,0.06268508999710881,0.1229491625879009,273840
gamd_cumulant3,12,7.3654920357224425,0.06069622465869849,0.14217066655590194,254584
gamd_cumulant3,13,7.55827378002924,0.06974822425709401,0.059298011756537594,233294
gamd_cumulant3,14,7.751055524336038,0.07704258757974289,0.0,212923
