method,cv_bin,rg_bin,cv_A,rg_A,probability,pmf_kcal_mol,counts
gamd_cumulant2,0,0,0.037104567109296716,5.052111104040872,0.0,,0
gamd_cumulant2,0,1,0.037104567109296716,5.24489284834767,0.0,,0
gamd_cumulant2,0,2,0.037104567109296716,5.437674592654467,0.0,,0
gamd_cumulant2,0,3,0.037104567109296716,5.630456336961265,0.0,,0
gamd_cumulant2,0,4,0.037104567109296716,5.823238081268062,0.0,,0
gamd_cumulant2,0,5,0.037104567109296716,6.016019825574859,0.0,,0
gamd_cumulant2,0,6,0.037104567109296716,6.208801569881657,0.0,,0
gamd_cumulant2,0,7,0.037104567109296716,6.401583314188454,0.0,,0
gamd_cumulant2,0,8,0.037104567109296716,6.594365058495252,0.0,,0
gamd_cumulant2,0,9,0.037104567109296716,6.78714680280205,0.0,,0
gamd_cumulant2,0,10,0.037104567109296716,6.979928547108847,0.0,,0
gamd_cumulant2,0,11,0.037104567109296716,7.172710291415645,0.0,,0
gamd_cumulant2,0,12,0.037104567109296716,7.3654920357224425,0.0,,0
gamd_cumulant2,0,13,0.037104567109296716,7.55827378002924,0.0,,0
gamd_cumulant2,0,14,0.037104567109296716,7.751055524336038,0.0,,0
gamd_cumulant2,0,15,0.037104567109296716,7.943837268642835,0.0,,0
gamd_cumulant2,0,16,0.037104567109296716,8.136619012949634,0.0,,0
gamd_cumulant2,0,17,0.037104567109296716,8.32940075725643,0.0,,0
gamd_cumulant2,0,18,0.037104567109296716,8.522182501563227,2.1909968536293217e-09,11.810681929824304,1
gamd_cumulant2,0,19,0.037104567109296716,8.714964245870025,6.706278646645794e-09,11.143763716212005,3
gamd_cumulant2,0,20,0.037104567109296716,8.907745990176823,1.7797553895075548e-06,7.816476135943714,24
gamd_cumulant2,0,21,0.037104567109296716,9.10052773448362,3.1390959119843593e-06,7.478179113671565,59
gamd_cumulant2,0,22,0.037104567109296716,9.293309478790418,0.00014309876885556825,5.201081348263985,148
gamd_cumulant2,0,23,0.037104567109296716,9.486091223097215,0.0006164810120010718,4.330392309727477,282
gamd_cumulant2,0,24,0.037104567109296716,9.678872967404013,0.0003301756110145548,4.702637113466827,269
gamd_cumulant2,0,25,0.037104567109296716,9.87165471171081,0.0012231450770487163,3.9219304847179095,286
gamd_cumulant2,0,26,0.037104567109296716,10.064436456017608,0.0003622381130151385,4.647386615816798,114
gamd_cumulant2,0,27,0.037104567109296716,10.257218200324406,7.45176661701877e-05,5.590075899922739,35
gamd_cumulant2,0,28,0.037104567109296716,10.449999944631202,5.658914076060216e-06,7.126862952701826,19
gamd_cumulant2,0,29,0.037104567109296716,10.642781688938001,3.9586865425549914e-10,12.8307314199097,5
gamd_cumulant2,1,0,0.06925855269655586,5.052111104040872,0.0,,0
gamd_cumulant2,1,1,0.06925855269655586,5.24489284834767,0.0,,0
gamd_cumulant2,1,2,0.06925855269655586,5.437674592654467,0.0,,0
gamd_cumulant2,1,3,0.06925855269655586,5.630456336961265,0.0,,0
gamd_cumulant2,1,4,0.06925855269655586,5.823238081268062,0.0,,0
gamd_cumulant2,1,5,0.06925855269655586,6.016019825574859,0.0,,0
gamd_cumulant2,1,6,0.06925855269655586,6.208801569881657,0.0,,0
gamd_cumulant2,1,7,0.06925855269655586,6.401583314188454,0.0,,0
gamd_cumulant2,1,8,0.06925855269655586,6.594365058495252,0.0,,0
gamd_cumulant2,1,9,0.06925855269655586,6.78714680280205,0.0,,0
gamd_cumulant2,1,10,0.06925855269655586,6.979928547108847,0.0,,0
gamd_cumulant2,1,11,0.06925855269655586,7.172710291415645,0.0,,0
gamd_cumulant2,1,12,0.06925855269655586,7.3654920357224425,0.0,,0
gamd_cumulant2,1,13,0.06925855269655586,7.55827378002924,0.0,,0
gamd_cumulant2,1,14,0.06925855269655586,7.751055524336038,1.2905908195311557e-11,14.871628309448171,1
gamd_cumulant2,1,15,0.06925855269655586,7.943837268642835,2.553078603600767e-09,11.719503055543107,5
gamd_cumulant2,1,16,0.06925855269655586,8.136619012949634,1.2625088887750446e-07,9.393895091688515,21
gamd_cumulant2,1,17,0.06925855269655586,8.32940075725643,5.15485165372227e-06,7.182481028920602,75
gamd_cumulant2,1,18,0.06925855269655586,8.522182501563227,3.048118968318626e-06,7.495712314424374,181
gamd_cumulant2,1,19,0.06925855269655586,8.714964245870025,3.3099698466878325e-05,6.073867963112779,693
gamd_cumulant2,1,20,0.06925855269655586,8.907745990176823,5.64935372133188e-05,5.755158908016058,1597
gamd_cumulant2,1,21,0.06925855269655586,9.10052773448362,0.00015873046266369188,5.139275831791004,3439
gamd_cumulant2,1,22,0.06925855269655586,9.293309478790418,0.0003332781442949833,4.697061370855949,4870
gamd_cumulant2,1,23,0.06925855269655586,9.486091223097215,0.0013119430233068457,3.880149243746172,5608
gamd_cumulant2,1,24,0.06925855269655586,9.678872967404013,0.0017619169134652395,3.704345390829133,4779
gamd_cumulant2,1,25,0.06925855269655586,9.87165471171081,0.00101162263415798,4.035123545064373,2657
gamd_cumulant2,1,26,0.06925855269655586,10.064436456017608,0.0008275952480777888,4.154824791785079,1288
gamd_cumulant2,1,27,0.06925855269655586,10.257218200324406,0.00014738553869110874,5.183484585489334,398
gamd_cumulant2,1,28,0.06925855269655586,10.449999944631202,5.059138473369962e-06,7.193654363034517,74
gamd_cumulant2,1,29,0.06925855269655586,10.642781688938001,1.0532425243670532e-08,10.874647919968524,15
gamd_cumulant2,2,0,0.101412538283815,5.052111104040872,0.0,,0
gamd_cumulant2,2,1,0.101412538283815,5.24489284834767,0.0,,0
gamd_cumulant2,2,2,0.101412538283815,5.437674592654467,0.0,,0
gamd_cumulant2,2,3,0.101412538283815,5.630456336961265,0.0,,0
gamd_cumulant2,2,4,0.101412538283815,5.823238081268062,0.0,,0
gamd_cumulant2,2,5,0.101412538283815,6.016019825574859,0.0,,0
gamd_cumulant2,2,6,0.101412538283815,6.208801569881657,0.0,,0
gamd_cumulant2,2,7,0.101412538283815,6.401583314188454,0.0,,0
gamd_cumulant2,2,8,0.101412538283815,6.594365058495252,0.0,,0
gamd_cumulant2,2,9,0.101412538283815,6.78714680280205,0.0,,0
gamd_cumulant2,2,10,0.101412538283815,6.979928547108847,0.0,,0
gamd_cumulant2,2,11,0.101412538283815,7.172710291415645,0.0,,0
gamd_cumulant2,2,12,0.101412538283815,7.3654920357224425,0.0,,0
gamd_cumulant2,2,13,0.101412538283815,7.55827378002924,5.028415741494656e-08,9.942709862517496,4
gamd_cumulant2,2,14,0.101412538283815,7.751055524336038,1.0255178408081431e-09,12.263263086838508,11
gamd_cumulant2,2,15,0.101412538283815,7.943837268642835,1.244470764249089e-07,9.402474193580035,132
gamd_cumulant2,2,16,0.101412538283815,8.136619012949634,9.513292221661262e-06,6.817182215255506,443
gamd_cumulant2,2,17,0.101412538283815,8.32940075725643,4.786184352523669e-05,5.854007005579247,1501
gamd_cumulant2,2,18,0.101412538283815,8.522182501563227,0.0001000054808176983,5.414691949576929,3943
gamd_cumulant2,2,19,0.101412538283815,8.714964245870025,0.0004328895006366801,4.541162161643494,9829
gamd_cumulant2,2,20,0.101412538283815,8.907745990176823,0.0006383692594934783,4.309592618275758,18022
gamd_cumulant2,2,21,0.101412538283815,9.10052773448362,0.0007268972564875469,4.232170196636328,25966
gamd_cumulant2,2,22,0.101412538283815,9.293309478790418,0.000935952731610043,4.081472648704078,26562
gamd_cumulant2,2,23,0.101412538283815,9.486091223097215,0.0007610672997390127,4.204784546080801,19548
gamd_cumulant2,2,24,0.101412538283815,9.678872967404013,0.0012467965592419725,3.9105127826758763,9760
gamd_cumulant2,2,25,0.101412538283815,9.87165471171081,0.00020453978783182655,4.988116184257415,3526
gamd_cumulant2,2,26,0.101412538283815,10.064436456017608,4.2927104610620484e-05,5.918878393563547,960
gamd_cumulant2,2,27,0.101412538283815,10.257218200324406,6.374271290563537e-06,7.055897248012501,150
gamd_cumulant2,2,28,0.101412538283815,10.449999944631202,7.268174141873356e-13,16.586644319747943,1
gamd_cumulant2,2,29,0.101412538283815,10.642781688938001,0.0,,0
gamd_cumulant2,3,0,0.13356652387107412,5.052111104040872,0.0,,0
gamd_cumulant2,3,1,0.13356652387107412,5.24489284834767,0.0,,0
gamd_cumulant2,3,2,0.13356652387107412,5.437674592654467,0.0,,0
gamd_cumulant2,3,3,0.13356652387107412,5.630456336961265,0.0,,0
gamd_cumulant2,3,4,0.13356652387107412,5.823238081268062,0.0,,0
gamd_cumulant2,3,5,0.13356652387107412,6.016019825574859,0.0,,0
gamd_cumulant2,3,6,0.13356652387107412,6.208801569881657,0.0,,0
gamd_cumulant2,3,7,0.13356652387107412,6.401583314188454,0.0,,0
gamd_cumulant2,3,8,0.13356652387107412,6.594365058495252,0.0,,0
gamd_cumulant2,3,9,0.13356652387107412,6.78714680280205,0.0,,0
gamd_cumulant2,3,10,0.13356652387107412,6.979928547108847,0.0,,0
gamd_cumulant2,3,11,0.13356652387107412,7.172710291415645,7.928755449112048e-09,11.043935388182124,7
gamd_cumulant2,3,12,0.13356652387107412,7.3654920357224425,3.910117667887217e-09,11.465378853627882,11
gamd_cumulant2,3,13,0.13356652387107412,7.55827378002924,6.030635556568988e-07,8.461647010624102,37
gamd_cumulant2,3,14,0.13356652387107412,7.751055524336038,7.098478113485131e-06,6.991743955137857,175
gamd_cumulant2,3,15,0.13356652387107412,7.943837268642835,6.479636011416152e-05,5.673411375039019,1237
gamd_cumulant2,3,16,0.13356652387107412,8.136619012949634,0.00018710833052657484,5.041219107775279,3626
gamd_cumulant2,3,17,0.13356652387107412,8.32940075725643,0.0002811233032889551,4.798518502386303,9590
gamd_cumulant2,3,18,0.13356652387107412,8.522182501563227,0.0005936067151139468,4.352933476530361,22524
gamd_cumulant2,3,19,0.13356652387107412,8.714964245870025,0.0011051645623412498,3.982399853108442,37681
gamd_cumulant2,3,20,0.13356652387107412,8.907745990176823,0.0011795015529332384,3.943591132625382,47179
gamd_cumulant2,3,21,0.13356652387107412,9.10052773448362,0.001023000982507617,4.0284555782228875,39672
gamd_cumulant2,3,22,0.13356652387107412,9.293309478790418,0.0012601595579434402,3.9041572044706734,23959
gamd_cumulant2,3,23,0.13356652387107412,9.486091223097215,0.000572019333848956,4.375017801920896,9943
gamd_cumulant2,3,24,0.13356652387107412,9.678872967404013,0.0003111964346763072,4.73793005900384,2844
gamd_cumulant2,3,25,0.13356652387107412,9.87165471171081,5.225367760541651e-05,5.801669010059458,629
gamd_cumulant2,3,26,0.13356652387107412,10.064436456017608,3.719704886065162e-06,7.377004880680199,97
gamd_cumulant2,3,27,0.13356652387107412,10.257218200324406,7.657063057059134e-09,11.064722091553202,18
gamd_cumulant2,3,28,0.13356652387107412,10.449999944631202,0.0,,0
gamd_cumulant2,3,29,0.13356652387107412,10.642781688938001,0.0,,0
gamd_cumulant2,4,0,0.16572050945833325,5.052111104040872,0.0,,0
gamd_cumulant2,4,1,0.16572050945833325,5.24489284834767,0.0,,0
gamd_cumulant2,4,2,0.16572050945833325,5.437674592654467,0.0,,0
gamd_cumulant2,4,3,0.16572050945833325,5.630456336961265,0.0,,0
gamd_cumulant2,4,4,0.16572050945833325,5.823238081268062,0.0,,0
gamd_cumulant2,4,5,0.16572050945833325,6.016019825574859,0.0,,0
gamd_cumulant2,4,6,0.16572050945833325,6.208801569881657,0.0,,0
gamd_cumulant2,4,7,0.16572050945833325,6.401583314188454,0.0,,0
gamd_cumulant2,4,8,0.16572050945833325,6.594365058495252,0.0,,0
gamd_cumulant2,4,9,0.16572050945833325,6.78714680280205,0.0,,0
gamd_cumulant2,4,10,0.16572050945833325,6.979928547108847,0.0,,0
gamd_cumulant2,4,11,0.16572050945833325,7.172710291415645,9.592558880462813e-09,10.930371672512923,15
gamd_cumulant2,4,12,0.16572050945833325,7.3654920357224425,4.466184913877553e-10,12.75882109433694,34
gamd_cumulant2,4,13,0.16572050945833325,7.55827378002924,6.562484681481311e-06,7.0385492430688705,411
gamd_cumulant2,4,14,0.16572050945833325,7.751055524336038,3.3728816348086955e-05,6.062643209702865,1436
gamd_cumulant2,4,15,0.16572050945833325,7.943837268642835,0.00014167100717784857,5.207059393898066,5793
gamd_cumulant2,4,16,0.16572050945833325,8.136619012949634,0.00041294755296144214,4.569278263844524,15094
gamd_cumulant2,4,17,0.16572050945833325,8.32940075725643,0.0007508423060928186,4.212848306228462,30305
gamd_cumulant2,4,18,0.16572050945833325,8.522182501563227,0.001416441784875044,3.8344602307470312,47614
gamd_cumulant2,4,19,0.16572050945833325,8.714964245870025,0.0017719832844741818,3.7009490318508766,51080
gamd_cumulant2,4,20,0.16572050945833325,8.907745990176823,0.0010769216388235043,3.997833045132517,38931
gamd_cumulant2,4,21,0.16572050945833325,9.10052773448362,0.0011773222944303,3.944693624782389,19845
gamd_cumulant2,4,22,0.16572050945833325,9.293309478790418,0.000572580933048883,4.374432787688289,7156
gamd_cumulant2,4,23,0.16572050945833325,9.486091223097215,0.00010216858568302323,5.401934541146757,1833
gamd_cumulant2,4,24,0.16572050945833325,9.678872967404013,3.831635454417097e-05,5.986618183850544,443
gamd_cumulant2,4,25,0.16572050945833325,9.87165471171081,6.094199205867123e-07,8.455396280734199,51
gamd_cumulant2,4,26,0.16572050945833325,10.064436456017608,9.601440077613717e-06,6.811683764101022,7
gamd_cumulant2,4,27,0.16572050945833325,10.257218200324406,0.0,,0
gamd_cumulant2,4,28,0.16572050945833325,10.449999944631202,0.0,,0
gamd_cumulant2,4,29,0.16572050945833325,10.642781688938001,0.0,,0
gamd_cumulant2,5,0,0.1978744950455924,5.052111104040872,0.0,,0
gamd_cumulant2,5,1,0.1978744950455924,5.24489284834767,0.0,,0
gamd_cumulant2,5,2,0.1978744950455924,5.437674592654467,0.0,,0
gamd_cumulant2,5,3,0.1978744950455924,5.630456336961265,0.0,,0
gamd_cumulant2,5,4,0.1978744950455924,5.823238081268062,0.0,,0
gamd_cumulant2,5,5,0.1978744950455924,6.016019825574859,0.0,,0
gamd_cumulant2,5,6,0.1978744950455924,6.208801569881657,0.0,,0
gamd_cumulant2,5,7,0.1978744950455924,6.401583314188454,0.0,,0
gamd_cumulant2,5,8,0.1978744950455924,6.594365058495252,0.0,,0
gamd_cumulant2,5,9,0.1978744950455924,6.78714680280205,0.0,,0
gamd_cumulant2,5,10,0.1978744950455924,6.979928547108847,9.37389069911596e-10,12.31683088964248,2
gamd_cumulant2,5,11,0.1978744950455924,7.172710291415645,5.0418079002825474e-08,9.94112421924215,62
gamd_cumulant2,5,12,0.1978744950455924,7.3654920357224425,5.7566114342329615e-05,5.7439463926037835,303
gamd_cumulant2,5,13,0.1978744950455924,7.55827378002924,6.815215126837221e-05,5.643309228611392,1917
gamd_cumulant2,5,14,0.1978744950455924,7.751055524336038,0.00011896762512250209,5.311182609766935,6508
gamd_cumulant2,5,15,0.1978744950455924,7.943837268642835,0.00039900427229740674,4.589755491688971,18665
gamd_cumulant2,5,16,0.1978744950455924,8.136619012949634,0.000816026608986897,4.163217097502053,35811
gamd_cumulant2,5,17,0.1978744950455924,8.32940075725643,0.0014841936925324652,3.8066053609857797,50354
gamd_cumulant2,5,18,0.1978744950455924,8.522182501563227,0.0015704097454491744,3.7729431663902457,49758
gamd_cumulant2,5,19,0.1978744950455924,8.714964245870025,0.0013789350097379149,3.8504590964326915,33198
gamd_cumulant2,5,20,0.1978744950455924,8.907745990176823,0.0008467056382981308,4.1412150881427285,16123
gamd_cumulant2,5,21,0.1978744950455924,9.10052773448362,0.00023702369380893218,4.900243447536983,5368
gamd_cumulant2,5,22,0.1978744950455924,9.293309478790418,0.00046553598019921194,4.4978171311244965,1193
