method,pca1_bin,pca2_bin,pca1_A,pca2_A,probability,pmf_kcal_mol,counts
umbrella_only,1,0,-13.529784059524536,-8.788402557373047,0.0,,0
umbrella_only,1,1,-13.529784059524536,-8.205251693725586,0.0,,0
umbrella_only,1,2,-13.529784059524536,-7.622100830078125,0.0,,0
umbrella_only,1,3,-13.529784059524536,-7.038949966430664,0.0,,0
umbrella_only,1,4,-13.529784059524536,-6.455799102783203,0.0,,0
umbrella_only,1,5,-13.529784059524536,-5.872648239135742,0.0,,0
umbrella_only,1,6,-13.529784059524536,-5.289497375488281,0.0,,0
umbrella_only,1,7,-13.529784059524536,-4.70634651184082,0.0,,0
umbrella_only,1,8,-13.529784059524536,-4.123195648193359,0.0,,0
umbrella_only,1,9,-13.529784059524536,-3.5400447845458984,0.0,,0
umbrella_only,1,10,-13.529784059524536,-2.9568939208984375,0.0,,0
umbrella_only,1,11,-13.529784059524536,-2.3737430572509766,0.0,,0
umbrella_only,1,12,-13.529784059524536,-1.7905921936035156,0.0,,0
umbrella_only,1,13,-13.529784059524536,-1.2074413299560547,0.0,,0
umbrella_only,1,14,-13.529784059524536,-0.6242904663085938,0.0,,0
umbrella_only,1,15,-13.529784059524536,-0.04113960266113281,0.0,,0
umbrella_only,1,16,-13.529784059524536,0.5420112609863281,8.64192947778645e-05,2.5772898181206414,1
umbrella_only,1,17,-13.529784059524536,1.125162124633789,0.00013508940937338105,2.3109691462843025,2
umbrella_only,1,18,-13.529784059524536,1.70831298828125,0.00018344548490849114,2.1285553086973894,8
umbrella_only,1,19,-13.529784059524536,2.291463851928711,0.00019349954340389209,2.0967455651223728,12
umbrella_only,1,20,-13.529784059524536,2.874614715576172,0.0001079024121500572,2.44493232248058,5
umbrella_only,1,21,-13.529784059524536,3.457765579223633,1.0463298060499817e-07,6.581411477468114,2
umbrella_only,1,22,-13.529784059524536,4.040916442871094,7.663238498168384e-05,2.6489431587952947,1
umbrella_only,1,23,-13.529784059524536,4.624067306518555,0.0,,0
umbrella_only,1,24,-13.529784059524536,5.207218170166016,0.0,,0
umbrella_only,1,25,-13.529784059524536,5.790369033813477,0.0,,0
umbrella_only,1,26,-13.529784059524536,6.3735198974609375,0.0,,0
umbrella_only,1,27,-13.529784059524536,6.956670761108398,0.0,,0
umbrella_only,1,28,-13.529784059524536,7.539821624755859,0.0,,0
umbrella_only,1,29,-13.529784059524536,8.12297248840332,0.0,,0
umbrella_only,2,0,-12.594207207361857,-8.788402557373047,0.0,,0
umbrella_only,2,1,-12.594207207361857,-8.205251693725586,0.0,,0
umbrella_only,2,2,-12.594207207361857,-7.622100830078125,0.0,,0
umbrella_only,2,3,-12.594207207361857,-7.038949966430664,0.0,,0
umbrella_only,2,4,-12.594207207361857,-6.455799102783203,0.0,,0
umbrella_only,2,5,-12.594207207361857,-5.872648239135742,0.0,,0
umbrella_only,2,6,-12.594207207361857,-5.289497375488281,0.0,,0
umbrella_only,2,7,-12.594207207361857,-4.70634651184082,0.0,,0
umbrella_only,2,8,-12.594207207361857,-4.123195648193359,0.0,,0
umbrella_only,2,9,-12.594207207361857,-3.5400447845458984,0.0,,0
umbrella_only,2,10,-12.594207207361857,-2.9568939208984375,0.0,,0
umbrella_only,2,11,-12.594207207361857,-2.3737430572509766,0.0,,0
umbrella_only,2,12,-12.594207207361857,-1.7905921936035156,1.8880942345176595e-07,6.229509779637969,1
umbrella_only,2,13,-12.594207207361857,-1.2074413299560547,1.7947539575042494e-09,9.005159320263852,1
umbrella_only,2,14,-12.594207207361857,-0.6242904663085938,0.00011209241679059556,2.4222206920749865,6
umbrella_only,2,15,-12.594207207361857,-0.04113960266113281,0.00011607618801213164,2.4014008994596865,6
umbrella_only,2,16,-12.594207207361857,0.5420112609863281,0.0003454965930094481,1.7511463241980034,20
umbrella_only,2,17,-12.594207207361857,1.125162124633789,0.0005954343247359105,1.4266507839142846,30
umbrella_only,2,18,-12.594207207361857,1.70831298828125,0.0009319605221216293,1.1595709138388055,42
umbrella_only,2,19,-12.594207207361857,2.291463851928711,0.0006475677067072271,1.3766136219596734,41
umbrella_only,2,20,-12.594207207361857,2.874614715576172,0.0007360340219770776,1.3002733886032884,31
umbrella_only,2,21,-12.594207207361857,3.457765579223633,0.00027377025952596756,1.8898691762530002,20
umbrella_only,2,22,-12.594207207361857,4.040916442871094,0.00016983635785098767,2.174508711147943,8
umbrella_only,2,23,-12.594207207361857,4.624067306518555,3.9631011760431394e-07,5.78748071526689,1
