method,bin,cv_A,probability,pmf_kcal_mol,counts
gamd_exponential,0,0.037104567109296716,0.0003020727640343791,3.9705612493964084,1133
gamd_exponential,1,0.06925855269655586,0.004456425184715706,2.3660323584267275,23245
gamd_exponential,2,0.101412538283815,0.018011459685419305,1.5333969806298335,108700
gamd_exponential,3,0.13356652387107412,0.04915273190515635,0.9348962329113478,177989
gamd_exponential,4,0.16572050945833325,0.022791778912153185,1.3930655685548974,198215
gamd_exponential,5,0.1978744950455924,0.023843259534839744,1.3661777044754162,198465
gamd_exponential,6,0.23002848063285153,0.017936752456497337,1.5358748574700627,191778
gamd_exponential,7,0.26218246622011065,0.017639817430258622,1.5458266474193199,183571
gamd_exponential,8,0.2943364518073698,0.01933182097605294,1.491221974958393,177687
gamd_exponential,9,0.3264904373946289,0.02847936576518041,1.2602528068823138,174996
gamd_exponential,10,0.35864442298188803,0.08010504961874398,0.6437272104802315,176950
gamd_exponential,11,0.39079840856914716,0.014054155638098663,1.6812986781963928,177932
gamd_exponential,12,0.42295239415640634,0.10586926093668915,0.4774780686700414,178782
gamd_exponential,13,0.45510637974366547,0.03968046637609941,1.0625184999546846,182251
gamd_exponential,14,0.4872603653309246,0.051822284565128704,0.9033665550288098,187079
gamd_exponential,15,0.5194143509181837,0.04319122054157599,1.0119770136026824,183010
gamd_exponential,16,0.5515683365054429,0.009350437420067447,1.9242314191411851,176656
gamd_exponential,17,0.5837223220927019,0.03536319945875724,1.1311887196118495,170642
gamd_exponential,18,0.6158763076799612,0.08153529790514905,0.6331768632157574,170628
gamd_exponential,19,0.6480302932672202,0.0137304199073511,1.6951918140561566,172676
gamd_exponential,20,0.6801842788544794,0.009785642596450626,1.8971101675921749,178187
gamd_exponential,21,0.7123382644417384,0.007023816607725646,2.0948029248804994,187753
gamd_exponential,22,0.7444922500289977,0.23583346882707265,0.0,200024
gamd_exponential,23,0.7766462356162568,0.007337566713286651,2.0687503607266726,203799
gamd_exponential,24,0.8088002212035159,0.004027666165904988,2.4263399280451052,200205
gamd_exponential,25,0.8409542067907751,0.021159433518442242,1.437368734472153,184646
gamd_exponential,26,0.8731081923780342,0.034498472717019696,1.1459476829311552,132141
gamd_exponential,27,0.9052621779652934,0.003349201360899326,2.5363109226607237,70163
gamd_exponential,28,0.9374161635525524,0.00033539179130126414,3.9081840329503166,14284
gamd_exponential,29,0.9695701491398117,2.0627199281975044e-06,6.943404391314024,349
