method,pca1_bin,pca2_bin,pca1_A,pca2_A,probability,pmf_kcal_mol,counts
gamd_cumulant2,0,0,-14.465360911687215,-8.788402557373047,0.0,,0
gamd_cumulant2,0,1,-14.465360911687215,-8.205251693725586,0.0,,0
gamd_cumulant2,0,2,-14.465360911687215,-7.622100830078125,0.0,,0
gamd_cumulant2,0,3,-14.465360911687215,-7.038949966430664,0.0,,0
gamd_cumulant2,0,4,-14.465360911687215,-6.455799102783203,0.0,,0
gamd_cumulant2,0,5,-14.465360911687215,-5.872648239135742,0.0,,0
gamd_cumulant2,0,6,-14.465360911687215,-5.289497375488281,0.0,,0
gamd_cumulant2,0,7,-14.465360911687215,-4.70634651184082,0.0,,0
gamd_cumulant2,0,8,-14.465360911687215,-4.123195648193359,0.0,,0
gamd_cumulant2,0,9,-14.465360911687215,-3.5400447845458984,0.0,,0
gamd_cumulant2,0,10,-14.465360911687215,-2.9568939208984375,0.0,,0
gamd_cumulant2,0,11,-14.465360911687215,-2.3737430572509766,0.0,,0
gamd_cumulant2,0,12,-14.465360911687215,-1.7905921936035156,0.0,,0
gamd_cumulant2,0,13,-14.465360911687215,-1.2074413299560547,0.0,,0
gamd_cumulant2,0,14,-14.465360911687215,-0.6242904663085938,0.0,,0
gamd_cumulant2,0,15,-14.465360911687215,-0.04113960266113281,0.0,,0
gamd_cumulant2,0,16,-14.465360911687215,0.5420112609863281,0.0,,0
gamd_cumulant2,0,17,-14.465360911687215,1.125162124633789,0.0,,0
gamd_cumulant2,0,18,-14.465360911687215,1.70831298828125,4.649869189580756e-12,14.592146854122992,1
gamd_cumulant2,0,19,-14.465360911687215,2.291463851928711,1.1775200094595975e-08,9.920083488760524,2
gamd_cumulant2,0,20,-14.465360911687215,2.874614715576172,0.0,,0
gamd_cumulant2,0,21,-14.465360911687215,3.457765579223633,4.5409104892753556e-08,9.11543447746834,4
gamd_cumulant2,0,22,-14.465360911687215,4.040916442871094,0.0,,0
gamd_cumulant2,0,23,-14.465360911687215,4.624067306518555,0.0,,0
gamd_cumulant2,0,24,-14.465360911687215,5.207218170166016,1.3564493271885168e-07,8.463038469306223,1
gamd_cumulant2,0,25,-14.465360911687215,5.790369033813477,0.0,,0
gamd_cumulant2,0,26,-14.465360911687215,6.3735198974609375,0.0,,0
gamd_cumulant2,0,27,-14.465360911687215,6.956670761108398,0.0,,0
gamd_cumulant2,0,28,-14.465360911687215,7.539821624755859,0.0,,0
gamd_cumulant2,0,29,-14.465360911687215,8.12297248840332,0.0,,0
gamd_cumulant2,1,0,-13.529784059524536,-8.788402557373047,0.0,,0
gamd_cumulant2,1,1,-13.529784059524536,-8.205251693725586,0.0,,0
gamd_cumulant2,1,2,-13.529784059524536,-7.622100830078125,0.0,,0
gamd_cumulant2,1,3,-13.529784059524536,-7.038949966430664,0.0,,0
gamd_cumulant2,1,4,-13.529784059524536,-6.455799102783203,0.0,,0
gamd_cumulant2,1,5,-13.529784059524536,-5.872648239135742,0.0,,0
gamd_cumulant2,1,6,-13.529784059524536,-5.289497375488281,0.0,,0
gamd_cumulant2,1,7,-13.529784059524536,-4.70634651184082,0.0,,0
gamd_cumulant2,1,8,-13.529784059524536,-4.123195648193359,0.0,,0
gamd_cumulant2,1,9,-13.529784059524536,-3.5400447845458984,0.0,,0
gamd_cumulant2,1,10,-13.529784059524536,-2.9568939208984375,0.0,,0
gamd_cumulant2,1,11,-13.529784059524536,-2.3737430572509766,0.0,,0
gamd_cumulant2,1,12,-13.529784059524536,-1.7905921936035156,0.0,,0
gamd_cumulant2,1,13,-13.529784059524536,-1.2074413299560547,0.0,,0
gamd_cumulant2,1,14,-13.529784059524536,-0.6242904663085938,0.0,,0
gamd_cumulant2,1,15,-13.529784059524536,-0.04113960266113281,0.0,,0
gamd_cumulant2,1,16,-13.529784059524536,0.5420112609863281,2.4154843781357033e-08,9.491747991099075,1
gamd_cumulant2,1,17,-13.529784059524536,1.125162124633789,3.7758507383302684e-08,9.225427319262739,2
gamd_cumulant2,1,18,-13.529784059524536,1.70831298828125,9.516405072751811e-07,7.301628866222586,8
gamd_cumulant2,1,19,-13.529784059524536,2.291463851928711,2.595761336053286e-07,8.076124218596208,12
gamd_cumulant2,1,20,-13.529784059524536,2.874614715576172,5.159136015373608e-08,9.039339506277058,5
gamd_cumulant2,1,21,-13.529784059524536,3.457765579223633,3.979875208958773e-10,11.939478625173848,2
gamd_cumulant2,1,22,-13.529784059524536,4.040916442871094,2.1419328780492567e-08,9.563401331773727,1
gamd_cumulant2,1,23,-13.529784059524536,4.624067306518555,0.0,,0
gamd_cumulant2,1,24,-13.529784059524536,5.207218170166016,0.0,,0
gamd_cumulant2,1,25,-13.529784059524536,5.790369033813477,0.0,,0
gamd_cumulant2,1,26,-13.529784059524536,6.3735198974609375,0.0,,0
gamd_cumulant2,1,27,-13.529784059524536,6.956670761108398,0.0,,0
gamd_cumulant2,1,28,-13.529784059524536,7.539821624755859,0.0,,0
gamd_cumulant2,1,29,-13.529784059524536,8.12297248840332,0.0,,0
gamd_cumulant2,2,0,-12.594207207361857,-8.788402557373047,0.0,,0
gamd_cumulant2,2,1,-12.594207207361857,-8.205251693725586,0.0,,0
gamd_cumulant2,2,2,-12.594207207361857,-7.622100830078125,0.0,,0
gamd_cumulant2,2,3,-12.594207207361857,-7.038949966430664,0.0,,0
gamd_cumulant2,2,4,-12.594207207361857,-6.455799102783203,0.0,,0
gamd_cumulant2,2,5,-12.594207207361857,-5.872648239135742,0.0,,0
gamd_cumulant2,2,6,-12.594207207361857,-5.289497375488281,0.0,,0
gamd_cumulant2,2,7,-12.594207207361857,-4.70634651184082,0.0,,0
gamd_cumulant2,2,8,-12.594207207361857,-4.123195648193359,0.0,,0
gamd_cumulant2,2,9,-12.594207207361857,-3.5400447845458984,0.0,,0
gamd_cumulant2,2,10,-12.594207207361857,-2.9568939208984375,0.0,,0
gamd_cumulant2,2,11,-12.594207207361857,-2.3737430572509766,0.0,,0
gamd_cumulant2,2,12,-12.594207207361857,-1.7905921936035156,5.460571764252643e-08,9.005486859889881,1
gamd_cumulant2,2,13,-12.594207207361857,-1.2074413299560547,2.594861486318725e-12,14.939891274429733,1
gamd_cumulant2,2,14,-12.594207207361857,-0.6242904663085938,1.764473487586248e-05,5.5608347369646465,6
gamd_cumulant2,2,15,-12.594207207361857,-0.04113960266113281,3.983177386352392e-05,5.0754238300115695,6
gamd_cumulant2,2,16,-12.594207207361857,0.5420112609863281,6.638881724708683e-06,6.1435787475632795,20
gamd_cumulant2,2,17,-12.594207207361857,1.125162124633789,2.701539037874042e-05,5.306888343162989,30
gamd_cumulant2,2,18,-12.594207207361857,1.70831298828125,5.375358564636646e-05,4.89672720410885,42
gamd_cumulant2,2,19,-12.594207207361857,2.291463851928711,2.145581464987782e-06,6.816962547833339,41
