method,cv_bin,rg_bin,cv_A,rg_A,probability,pmf_kcal_mol,counts
umbrella_only,0,0,0.037104567109296716,5.052111104040872,0.0,,0
umbrella_only,0,1,0.037104567109296716,5.24489284834767,0.0,,0
umbrella_only,0,2,0.037104567109296716,5.437674592654467,0.0,,0
umbrella_only,0,3,0.037104567109296716,5.630456336961265,0.0,,0
umbrella_only,0,4,0.037104567109296716,5.823238081268062,0.0,,0
umbrella_only,0,5,0.037104567109296716,6.016019825574859,0.0,,0
umbrella_only,0,6,0.037104567109296716,6.208801569881657,0.0,,0
umbrella_only,0,7,0.037104567109296716,6.401583314188454,0.0,,0
umbrella_only,0,8,0.037104567109296716,6.594365058495252,0.0,,0
umbrella_only,0,9,0.037104567109296716,6.78714680280205,0.0,,0
umbrella_only,0,10,0.037104567109296716,6.979928547108847,0.0,,0
umbrella_only,0,11,0.037104567109296716,7.172710291415645,0.0,,0
umbrella_only,0,12,0.037104567109296716,7.3654920357224425,0.0,,0
umbrella_only,0,13,0.037104567109296716,7.55827378002924,0.0,,0
umbrella_only,0,14,0.037104567109296716,7.751055524336038,0.0,,0
umbrella_only,0,15,0.037104567109296716,7.943837268642835,0.0,,0
umbrella_only,0,16,0.037104567109296716,8.136619012949634,0.0,,0
umbrella_only,0,17,0.037104567109296716,8.32940075725643,0.0,,0
umbrella_only,0,18,0.037104567109296716,8.522182501563227,2.2103336945003794e-09,9.495367124867958,1
umbrella_only,0,19,0.037104567109296716,8.714964245870025,4.632368133536956e-06,4.936116448355165,3
umbrella_only,0,20,0.037104567109296716,8.907745990176823,4.0155933392245836e-05,3.64858574670154,24
umbrella_only,0,21,0.037104567109296716,9.10052773448362,0.000144994021259287,2.8831609887359497,59
umbrella_only,0,22,0.037104567109296716,9.293309478790418,0.000309657015375127,2.430810042342364,148
umbrella_only,0,23,0.037104567109296716,9.486091223097215,0.0006421357312379138,1.9960091040533148,282
umbrella_only,0,24,0.037104567109296716,9.678872967404013,0.0005335238450471887,2.1064753656808892,269
umbrella_only,0,25,0.037104567109296716,9.87165471171081,0.0005547362406074976,2.0832316375663056,286
umbrella_only,0,26,0.037104567109296716,10.064436456017608,0.00017056474378369054,2.7863310165906774,114
umbrella_only,0,27,0.037104567109296716,10.257218200324406,4.848316326449692e-05,3.536241313006203,35
umbrella_only,0,28,0.037104567109296716,10.449999944631202,2.3689856613322423e-05,3.963193910402698,19
umbrella_only,0,29,0.037104567109296716,10.642781688938001,2.8630442492631903e-06,5.222978960446763,5
umbrella_only,1,0,0.06925855269655586,5.052111104040872,0.0,,0
umbrella_only,1,1,0.06925855269655586,5.24489284834767,0.0,,0
umbrella_only,1,2,0.06925855269655586,5.437674592654467,0.0,,0
umbrella_only,1,3,0.06925855269655586,5.630456336961265,0.0,,0
umbrella_only,1,4,0.06925855269655586,5.823238081268062,0.0,,0
umbrella_only,1,5,0.06925855269655586,6.016019825574859,0.0,,0
umbrella_only,1,6,0.06925855269655586,6.208801569881657,0.0,,0
umbrella_only,1,7,0.06925855269655586,6.401583314188454,0.0,,0
umbrella_only,1,8,0.06925855269655586,6.594365058495252,0.0,,0
umbrella_only,1,9,0.06925855269655586,6.78714680280205,0.0,,0
umbrella_only,1,10,0.06925855269655586,6.979928547108847,0.0,,0
umbrella_only,1,11,0.06925855269655586,7.172710291415645,0.0,,0
umbrella_only,1,12,0.06925855269655586,7.3654920357224425,0.0,,0
umbrella_only,1,13,0.06925855269655586,7.55827378002924,0.0,,0
umbrella_only,1,14,0.06925855269655586,7.751055524336038,1.2200178084044915e-09,9.849652681289784,1
umbrella_only,1,15,0.06925855269655586,7.943837268642835,2.947551237436629e-07,6.578349143779587,5
umbrella_only,1,16,0.06925855269655586,8.136619012949634,1.618769361271881e-05,4.1902095408536795,21
umbrella_only,1,17,0.06925855269655586,8.32940075725643,6.44133147811536e-05,3.366869643823883,75
umbrella_only,1,18,0.06925855269655586,8.522182501563227,0.00010946245221117153,3.050748434308861,181
umbrella_only,1,19,0.06925855269655586,8.714964245870025,0.0005009893352282193,2.1439852081027433,693
umbrella_only,1,20,0.06925855269655586,8.907745990176823,0.001131655302631182,1.6582020610162895,1597
umbrella_only,1,21,0.06925855269655586,9.10052773448362,0.0024870228775023913,1.18878173006968,3439
umbrella_only,1,22,0.06925855269655586,9.293309478790418,0.003177954337035331,1.0426319964335415,4870
umbrella_only,1,23,0.06925855269655586,9.486091223097215,0.0029432344915016687,1.0883745902656488,5608
umbrella_only,1,24,0.06925855269655586,9.678872967404013,0.0021548596933179216,1.2742478577595548,4779
umbrella_only,1,25,0.06925855269655586,9.87165471171081,0.0010089423977979698,1.7266287246044665,2657
umbrella_only,1,26,0.06925855269655586,10.064436456017608,0.0004210992810870909,2.2475480714561598,1288
umbrella_only,1,27,0.06925855269655586,10.257218200324406,0.00013646172838424704,2.919317163723776,398
umbrella_only,1,28,0.06925855269655586,10.449999944631202,2.0814797585667004e-05,4.040326931337328,74
umbrella_only,1,29,0.06925855269655586,10.642781688938001,3.208566986817662e-05,3.782340908967447,15
umbrella_only,2,0,0.101412538283815,5.052111104040872,0.0,,0
umbrella_only,2,1,0.101412538283815,5.24489284834767,0.0,,0
umbrella_only,2,2,0.101412538283815,5.437674592654467,0.0,,0
umbrella_only,2,3,0.101412538283815,5.630456336961265,0.0,,0
umbrella_only,2,4,0.101412538283815,5.823238081268062,0.0,,0
umbrella_only,2,5,0.101412538283815,6.016019825574859,0.0,,0
umbrella_only,2,6,0.101412538283815,6.208801569881657,0.0,,0
umbrella_only,2,7,0.101412538283815,6.401583314188454,0.0,,0
umbrella_only,2,8,0.101412538283815,6.594365058495252,0.0,,0
umbrella_only,2,9,0.101412538283815,6.78714680280205,0.0,,0
umbrella_only,2,10,0.101412538283815,6.979928547108847,0.0,,0
umbrella_only,2,11,0.101412538283815,7.172710291415645,0.0,,0
umbrella_only,2,12,0.101412538283815,7.3654920357224425,0.0,,0
umbrella_only,2,13,0.101412538283815,7.55827378002924,1.0066407330966478e-06,5.846126492335063,4
umbrella_only,2,14,0.101412538283815,7.751055524336038,4.599058701304452e-06,4.940418682497636,11
umbrella_only,2,15,0.101412538283815,7.943837268642835,6.711377991812844e-05,3.3423858821260892,132
umbrella_only,2,16,0.101412538283815,8.136619012949634,0.00017319812601445875,2.7771970968853315,443
umbrella_only,2,17,0.101412538283815,8.32940075725643,0.0004805927787359046,2.1687643631934646,1501
umbrella_only,2,18,0.101412538283815,8.522182501563227,0.0011310569218220498,1.658517374180836,3943
