method,cv_bin,rg_bin,cv_A,rg_A,probability,pmf_kcal_mol,counts
umbrella_only,0,0,2.9615304072697954,2.915632470448812,0.0,,0
umbrella_only,0,1,2.9615304072697954,3.412108135223389,3.2997661803119145e-09,9.047673731315074,11
umbrella_only,0,2,2.9615304072697954,3.908583799997966,0.0,,0
umbrella_only,0,3,2.9615304072697954,4.405059464772543,2.7852986871113605e-06,5.030584766128898,20
umbrella_only,0,4,2.9615304072697954,4.90153512954712,7.920140057424074e-06,4.407564173339308,79
umbrella_only,0,5,2.9615304072697954,5.398010794321696,1.099245175595186e-05,4.21214254019185,167
umbrella_only,0,6,2.9615304072697954,5.894486459096273,1.23892464651512e-05,4.1408297027953616,164
umbrella_only,0,7,2.9615304072697954,6.39096212387085,1.6459896997324914e-05,3.971461439390317,352
umbrella_only,0,8,2.9615304072697954,6.8874377886454266,2.101175240553069e-05,3.8259056933488185,744
umbrella_only,0,9,2.9615304072697954,7.3839134534200035,3.1694459772829593e-06,4.953559723996072,71
umbrella_only,0,10,2.9615304072697954,7.88038911819458,1.79622910217267e-06,5.292100205856167,11
umbrella_only,0,11,2.9615304072697954,8.376864782969157,0.0,,0
umbrella_only,0,12,2.9615304072697954,8.873340447743733,0.0,,0
umbrella_only,0,13,2.9615304072697954,9.369816112518311,0.0,,0
umbrella_only,0,14,2.9615304072697954,9.866291777292886,0.0,,0
umbrella_only,0,15,2.9615304072697954,10.362767442067465,0.0,,0
umbrella_only,0,16,2.9615304072697954,10.85924310684204,0.0,,0
umbrella_only,0,17,2.9615304072697954,11.355718771616619,0.0,,0
umbrella_only,0,18,2.9615304072697954,11.852194436391194,0.0,,0
umbrella_only,0,19,2.9615304072697954,12.348670101165773,0.0,,0
umbrella_only,0,20,2.9615304072697954,12.845145765940348,0.0,,0
umbrella_only,0,21,2.9615304072697954,13.341621430714927,0.0,,0
umbrella_only,0,22,2.9615304072697954,13.838097095489502,0.0,,0
umbrella_only,0,23,2.9615304072697954,14.334572760264079,0.0,,0
umbrella_only,0,24,2.9615304072697954,14.831048425038656,0.0,,0
umbrella_only,0,25,2.9615304072697954,15.327524089813231,0.0,,0
umbrella_only,0,26,2.9615304072697954,15.82399975458781,0.0,,0
umbrella_only,0,27,2.9615304072697954,16.32047541936239,0.0,,0
umbrella_only,0,28,2.9615304072697954,16.81695108413696,0.0,,0
umbrella_only,0,29,2.9615304072697954,17.31342674891154,0.0,,0
umbrella_only,1,0,3.567827343940735,2.915632470448812,0.0,,0
umbrella_only,1,1,3.567827343940735,3.412108135223389,6.163256325315736e-09,8.675219796792229,20
umbrella_only,1,2,3.567827343940735,3.908583799997966,5.85967540347139e-09,8.705332530059307,19
umbrella_only,1,3,3.567827343940735,4.405059464772543,3.4567156571165283e-09,9.019971729537401,20
umbrella_only,1,4,3.567827343940735,4.90153512954712,1.1896896650835477e-05,4.165004814834745,49
umbrella_only,1,5,3.567827343940735,5.398010794321696,6.97064470423971e-06,4.483694667291299,137
umbrella_only,1,6,3.567827343940735,5.894486459096273,1.123109264397814e-05,4.199338648716617,380
umbrella_only,1,7,3.567827343940735,6.39096212387085,1.1640306226440022e-05,4.178003414217807,301
umbrella_only,1,8,3.567827343940735,6.8874377886454266,1.3563531076355368e-05,4.086843855283201,112
umbrella_only,1,9,3.567827343940735,7.3839134534200035,1.6760047679835822e-06,5.3334002782947945,49
umbrella_only,1,10,3.567827343940735,7.88038911819458,5.457500342647156e-07,6.002297445231767,11
umbrella_only,1,11,3.567827343940735,8.376864782969157,6.405178014093602e-07,5.906842572120134,9
umbrella_only,1,12,3.567827343940735,8.873340447743733,0.0,,0
umbrella_only,1,13,3.567827343940735,9.369816112518311,0.0,,0
umbrella_only,1,14,3.567827343940735,9.866291777292886,0.0,,0
umbrella_only,1,15,3.567827343940735,10.362767442067465,0.0,,0
umbrella_only,1,16,3.567827343940735,10.85924310684204,0.0,,0
umbrella_only,1,17,3.567827343940735,11.355718771616619,0.0,,0
umbrella_only,1,18,3.567827343940735,11.852194436391194,0.0,,0
umbrella_only,1,19,3.567827343940735,12.348670101165773,0.0,,0
umbrella_only,1,20,3.567827343940735,12.845145765940348,0.0,,0
umbrella_only,1,21,3.567827343940735,13.341621430714927,0.0,,0
umbrella_only,1,22,3.567827343940735,13.838097095489502,0.0,,0
umbrella_only,1,23,3.567827343940735,14.334572760264079,0.0,,0
umbrella_only,1,24,3.567827343940735,14.831048425038656,0.0,,0
umbrella_only,1,25,3.567827343940735,15.327524089813231,0.0,,0
umbrella_only,1,26,3.567827343940735,15.82399975458781,0.0,,0
umbrella_only,1,27,3.567827343940735,16.32047541936239,0.0,,0
umbrella_only,1,28,3.567827343940735,16.81695108413696,0.0,,0
umbrella_only,1,29,3.567827343940735,17.31342674891154,0.0,,0
umbrella_only,2,0,4.174124280611673,2.915632470448812,1.1177335124646222e-07,6.947623161718914,18
umbrella_only,2,1,4.174124280611673,3.412108135223389,1.6724517507787733e-06,5.334665441547903,161
umbrella_only,2,2,4.174124280611673,3.908583799997966,6.204945174928877e-07,5.925776740717012,71
umbrella_only,2,3,4.174124280611673,4.405059464772543,2.7920647365876714e-06,5.029138326880682,116
umbrella_only,2,4,4.174124280611673,4.90153512954712,7.653706922394011e-06,4.427964093404032,85
umbrella_only,2,5,4.174124280611673,5.398010794321696,3.4399342102621426e-05,3.532024700910554,454
umbrella_only,2,6,4.174124280611673,5.894486459096273,6.756007119494287e-05,3.1296279367528244,1315
umbrella_only,2,7,4.174124280611673,6.39096212387085,3.378006083034242e-05,3.5428550001569934,1500
umbrella_only,2,8,4.174124280611673,6.8874377886454266,3.1608244119138945e-05,3.5824715479980287,628
umbrella_only,2,9,4.174124280611673,7.3839134534200035,2.4805094961861126e-05,3.726962502460936,680
umbrella_only,2,10,4.174124280611673,7.88038911819458,4.0156828629387965e-05,3.439765723884211,779
umbrella_only,2,11,4.174124280611673,8.376864782969157,4.2445677232872195e-06,4.779431041906509,314
umbrella_only,2,12,4.174124280611673,8.873340447743733,1.2924304432060443e-06,5.488335641111593,9
umbrella_only,2,13,4.174124280611673,9.369816112518311,0.0,,0
umbrella_only,2,14,4.174124280611673,9.866291777292886,0.0,,0
umbrella_only,2,15,4.174124280611673,10.362767442067465,0.0,,0
umbrella_only,2,16,4.174124280611673,10.85924310684204,0.0,,0
umbrella_only,2,17,4.174124280611673,11.355718771616619,0.0,,0
umbrella_only,2,18,4.174124280611673,11.852194436391194,0.0,,0
umbrella_only,2,19,4.174124280611673,12.348670101165773,0.0,,0
umbrella_only,2,20,4.174124280611673,12.845145765940348,0.0,,0
umbrella_only,2,21,4.174124280611673,13.341621430714927,0.0,,0
umbrella_only,2,22,4.174124280611673,13.838097095489502,0.0,,0
umbrella_only,2,23,4.174124280611673,14.334572760264079,0.0,,0
umbrella_only,2,24,4.174124280611673,14.831048425038656,0.0,,0
umbrella_only,2,25,4.174124280611673,15.327524089813231,0.0,,0
umbrella_only,2,26,4.174124280611673,15.82399975458781,0.0,,0
umbrella_only,2,27,4.174124280611673,16.32047541936239,0.0,,0
umbrella_only,2,28,4.174124280611673,16.81695108413696,0.0,,0
umbrella_only,2,29,4.174124280611673,17.31342674891154,0.0,,0
umbrella_only,3,0,4.780421217282613,2.915632470448812,3.880531416601253e-06,4.832887557010235,238
umbrella_only,3,1,4.780421217282613,3.412108135223389,4.717554114176101e-06,4.716446312878389,601
