method,bin,rg_A,probability,pmf_kcal_mol,counts,boost_mean_kj_mol,boost_var_kj2_mol2
umbrella_only,0,5.052111104040872,0.0007673876980554799,2.703672784418184,2497,5.605816835773381,51.26272184571713
umbrella_only,1,5.24489284834767,0.013651341841095331,0.9875623631031154,73331,5.210760489981791,43.3760646695372
umbrella_only,2,5.437674592654467,0.03492572040520716,0.42753697690859505,232275,6.206070864237291,46.656445792668976
umbrella_only,3,5.630456336961265,0.05077700231212672,0.2044414979137421,328741,5.710524028540212,43.89213456194807
umbrella_only,4,5.823238081268062,0.06249062107177771,0.08069454824859634,383240,5.462438040682416,43.62843254902528
umbrella_only,5,6.016019825574859,0.06646829113336829,0.04390631439974135,337341,5.210851902934213,45.511495180128705
umbrella_only,6,6.208801569881657,0.06660358335105264,0.04269409717584627,315439,5.494925829746286,49.910528936151586
umbrella_only,7,6.401583314188454,0.07087188381371651,0.005663292871213477,319829,5.647267567234018,52.2161963223762
umbrella_only,8,6.594365058495252,0.07154834623957435,0.0,315132,5.77332770189539,54.04179778695084
umbrella_only,9,6.78714680280205,0.06982186939691548,0.014561904845870277,303205,5.645085735561323,53.96302983874679
umbrella_only,10,6.979928547108847,0.07075167822462297,0.006675298694890586,294894,5.445315394869274,54.09446816253003
umbrella_only,11,7.172710291415645,0.06516988540894823,0.055667102028397863,273840,5.654202669399345,56.21887900558357
umbrella_only,12,7.3654920357224425,0.056433398170361214,0.14147636997402846,254584,5.995579078792263,58.400605555172085
umbrella_only,13,7.55827378002924,0.04985249194540443,0.21539599576164625,233294,5.7623800419609355,58.25640597361769
umbrella_only,14,7.751055524336038,0.04420435943569045,0.28708145034464727,212923,5.386561117120863,57.20024415761735
umbrella_only,15,7.943837268642835,0.038448676644038594,0.37024543360925977,202821,5.472966445704149,58.011918703365346
umbrella_only,16,8.136619012949634,0.03234169225560576,0.4733617197259987,187454,5.583050362094405,58.98928306934137
umbrella_only,17,8.32940075725643,0.027025853406411678,0.5804103693157854,174950,5.776022073555431,60.45116958233842
umbrella_only,18,8.522182501563227,0.024772930857652257,0.6323016670058148,165266,5.834935321445954,61.151465209478054
umbrella_only,19,8.714964245870025,0.020890337676955965,0.7339261915322084,147837,6.104666896742407,62.75527035214082
umbrella_only,20,8.907745990176823,0.018668136205415454,0.8009756251603648,126028,5.831693406828289,61.82821523747914
umbrella_only,21,9.10052773448362,0.015722253520395173,0.9033609554491961,95372,5.762548723946344,61.70798604370319
umbrella_only,22,9.293309478790418,0.0121767374490174,1.0557098300604129,64013,5.951138595159983,63.96261245820222
umbrella_only,23,9.486091223097215,0.008086924907709478,1.2997060122305955,37431,6.533027058921691,66.65352712618935
umbrella_only,24,9.678872967404013,0.004434133422917996,1.657949069326467,18137,7.671628338389645,70.65574530621518
umbrella_only,25,9.87165471171081,0.0021005891620979925,2.1033497104673327,7153,8.167627757394152,70.54856103008139
umbrella_only,26,10.064436456017608,0.0007108324572225893,2.749312142822901,2466,10.58100921016011,65.52243788846613
umbrella_only,27,10.257218200324406,0.00020358725051838937,3.4947176840304204,601,9.846424354589493,69.92414514611097
umbrella_only,28,10.449999944631202,4.4505622006974046e-05,4.401168473096229,94,16.605861390558864,10.53736713699274
umbrella_only,29,10.642781688938001,3.494871411735553e-05,4.545280829471716,20,0.5716434472953947,7.469405987122964
