# overlap space: CV1 marginal (30 primary bins); pairwise histogram-intersection overlap of the primary CV only. This CANNOT see a secondary-CV gap: for the joint (CV1, CV2) overlap see overlap_matrix_joint.csv (written only when this run has a biased second axis). docs/chignolin_6_low_ess_root_cause.md
window,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
10,0.21046908022442368,0.23975065502248044,0.2543938138062642,0.25903001945952436,0.49340056340067906,0.513716026644102,0.531927597590048,0.5540459755221434,0.9828726825370461,0.9864106902987657,1.0,0.9810571312440987,0.4971464200921239,0.4974786687010269,0.48870870680644857,0.4725704581965388,0.19920107849295837,0.18323673180671252,0.17823245600143584,0.17588207144114987,0.04082092318846103,0.039083972095947814,0.03837662412297484,0.03887719553034068,0.0049271772934824255,0.00433915054001837,0.004370823171697335,0.004073790523523268,0.00025075977325341803,0.00022170842175276345,0.00016892248571320577,0.000207729447581433,4.1576584067852984e-05,0.0,1.0557878288779088e-05,1.3696753869332969e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.20562414216899597,0.22308843307846696,0.23773159186225074,0.24236779751551094,0.47673834145666555,0.49705380470008853,0.5152653756460346,0.53738375357813,0.9641775962643531,0.9700447831323817,0.9810571312440987,1.0,0.5033126252295119,0.5036448738384149,0.4948749119438366,0.4787366633339268,0.2004537918866087,0.1844894452003628,0.17948516939508613,0.17713478483480016,0.04207363658211133,0.040336685489598116,0.039629337516625146,0.04012990892399098,0.004825291565254981,0.0042372648117909245,0.004268937443469891,0.003971904795295822,0.0003854384795376374,0.0003563871280369828,0.00030360119199742514,0.0003424081538656523,4.1576584067852984e-05,0.0,1.0557878288779088e-05,1.3696753869332969e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.052004112623790524,0.06864020358047718,0.08328336236426095,0.08791956801752114,0.17164457324926793,0.17556185466021,0.18746008101156134,0.19710753240604645,0.4823045247363994,0.4835782243640699,0.4971464200921239,0.5033126252295119,1.0,0.9963786075652923,0.9885963752855433,0.9754240381044148,0.4925726308813005,0.47660828419505463,0.4716040083897779,0.469253623829492,0.15053003533568907,0.13759491155895553,0.1338998102076042,0.1348208737434391,0.03338272507726458,0.026489844506294696,0.024568371517770745,0.023915322820656195,0.0058619751264146515,0.004060060078722849,0.003912316884109517,0.003983083320038896,0.000623643575827514,0.00041110884357893314,0.00044277077385117746,0.00030180972239489856,0.0,1.055821270575317e-05,2.111642541150634e-05,2.7394258163488934e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.051311544178448486,0.06794763513513515,0.08259079391891891,0.0872269995721791,0.1717161645350039,0.17563344594594596,0.18753167229729728,0.1971791236917824,0.4826367733453024,0.4839104729729729,0.4974786687010269,0.5036448738384149,0.9963786075652923,1.0,0.9899986663521518,0.975091789495512,0.4944498766672808,0.47848552998103494,0.47348125417575826,0.4711308696154723,0.1530955967497065,0.14016047297297296,0.13646537162162165,0.13738643515745655,0.035165838329131074,0.0282729577581612,0.026351484769637248,0.025698436072522694,0.005856001871149409,0.004054086823457607,0.003906343628844276,0.003977110064773653,0.0005926296093823742,0.00038009487713379337,0.0004117568074060377,0.0002707957559497588,0.0,1.0557432432432433e-05,1.0557432432432433e-05,1.0557432432432433e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.05004474702802945,0.06668083798471611,0.08132399676849988,0.08596020242176007,0.16695557717318288,0.17087285858412493,0.18277108493547628,0.19241853632996136,0.47386681145072407,0.4751405110783946,0.48870870680644857,0.4948749119438366,0.9885963752855433,0.9899986663521518,1.0,0.9838617513900902,0.5039762555957572,0.48801190890951135,0.48300763310423467,0.4806572485439487,0.15521861929230973,0.14228349551557623,0.1385883941642249,0.1395094577000598,0.034807026624032095,0.027914146053062215,0.025992673064538264,0.025339624367423718,0.005951029797636375,0.004149114749944572,0.004001371555331242,0.00407213799126062,0.0006243023525218967,0.0004117676202733159,0.0004434295505455602,0.0003024684990892813,0.0,1.055821270575317e-05,2.111642541150634e-05,2.7394258163488934e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.04963095414977532,0.06626704510646197,0.08091020389024575,0.08443701806527604,0.16177766922446868,0.16569495063541073,0.17759317698676208,0.1872406283812472,0.4577285628408143,0.4590022624684848,0.4725704581965388,0.4787366633339268,0.9754240381044148,0.975091789495512,0.9838617513900902,1.0,0.5169453755771843,0.5009810288909384,0.4959767530856618,0.49362636852537584,0.16268362934761293,0.14974850557087946,0.1460534042195281,0.14697446775536302,0.03572316471440826,0.028830284143438384,0.026908811154914433,0.02625576245779988,0.006070009194817427,0.004268094147125624,0.004120350952512294,0.0041911173884416715,0.0006642493234854902,0.0004517145912369094,0.0004833765215091537,0.0003424154700528748,1.3696191089258077e-05,2.4254403795011247e-05,3.481261650076442e-05,4.109044925274701e-05,0.0,1.055821270575317e-05,1.3696191089258077e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.007108413701363485,0.009956308309889536,0.012680125877457104,0.014403612226241347,0.044354838709677415,0.04427111655012179,0.0472694273609326,0.049293690568317734,0.19433821084137015,0.1956119104690407,0.19920107849295837,0.2004537918866087,0.4925726308813005,0.4944498766672808,0.5039762555957572,0.5169453755771843,1.0,0.9794763615696934,0.9717587969839186,0.972494121124378,0.4637624607917907,0.4252450960427921,0.41466654874549475,0.4143256008811304,0.15901441162107574,0.1375154350536853,0.12694733361680358,0.12602611474448006,0.038577266274478585,0.036775351226786775,0.034756070065497725,0.03371057466515027,0.0032425311061152224,0.0030299963738666417,0.003061658304138886,0.0029206972526826074,4.156967076820751e-05,5.212788347396068e-05,6.268609617971385e-05,6.896392893169644e-05,0.0,1.055821270575317e-05,2.111642541150634e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.006938864093172828,0.009786758701698879,0.012510576269266447,0.01423406261805069,0.04010721701938712,0.04002349485983149,0.043021805670642295,0.04504606887802743,0.1791636878997202,0.18002691511617008,0.18323673180671252,0.1844894452003628,0.47660828419505463,0.47848552998103494,0.48801190890951135,0.5009810288909384,0.9794763615696934,1.0,0.9917862308512546,0.9925557647770822,0.48428609922209725,0.44576873447309867,0.4351901871758014,0.434849239311437,0.16892451948908513,0.1474255429216947,0.13685744148481296,0.13593622261248944,0.04848737414248799,0.04196623697463022,0.03670925781756852,0.035663762417221065,0.00519571885818602,0.004983184125937439,0.0050148460562096835,0.004873885004753404,0.0001478056145018423,0.00015836382720759546,0.00016892203991334865,0.00017519987266533123,0.0,1.055821270575317e-05,2.111642541150634e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.006833288654242941,0.009681183262768992,0.01240500083033656,0.014128487179120802,0.03761563666064177,0.037531914501086144,0.04053022531189695,0.042554488519282084,0.17415941209444352,0.1750226393108934,0.17823245600143584,0.17948516939508613,0.4716040083897779,0.47348125417575826,0.48300763310423467,0.4959767530856618,0.9717587969839186,0.9917862308512546,1.0,0.9959284023372823,0.492003663807872,0.45348629905887344,0.44290775176157615,0.44256680389721176,0.17087766510928806,0.14937868854189762,0.1388105871050159,0.13788936823269238,0.05044051976269091,0.04199790960630918,0.036740930449247484,0.035695435048900034,0.005227391489864986,0.005014856757616405,0.0050465186878886495,0.00490555763643237,0.00023226596564575216,0.00024282417835150532,0.0002533823910572585,0.0002596602238092411,0.0,1.055821270575317e-05,2.111642541150634e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.006428402392263156,0.009276297000789207,0.012000114568356774,0.013723600917141017,0.035492589370943316,0.03540886721138769,0.03840717802219849,0.04043144122958363,0.17180902753415755,0.17267225475060743,0.17588207144114987,0.17713478483480016,0.469253623829492,0.4711308696154723,0.4806572485439487,0.49362636852537584,0.972494121124378,0.9925557647770822,0.9959284023372823,1.0,0.4912683396674127,0.452750974918414,0.4421724276211167,0.44183147975675235,0.17181479115150938,0.15031581458411897,0.13974771314723722,0.1388264942749137,0.05137764580491224,0.04226959023860863,0.03701261108154693,0.03596711568119947,0.005499072122164428,0.005286537389915847,0.005318199320188091,0.005177238268731812,0.00024653481619459815,0.0002570930289003513,0.00026765124160610447,0.0002739290743580871,0.0,1.055821270575317e-05,2.111642541150634e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
