method,bin,cv_A,probability,pmf_kcal_mol,counts
umbrella_only,0,0.037104567109296716,0.002756340505747462,1.6907943934930352,1133
umbrella_only,1,0.06925855269655586,0.014498375988550907,0.7010875345826155,23245
umbrella_only,2,0.101412538283815,0.02452104831082213,0.38780763221141945,108700
umbrella_only,3,0.13356652387107412,0.027565873223689547,0.31802894179320806,177989
umbrella_only,4,0.16572050945833325,0.02883180610598329,0.29126092711746865,198215
umbrella_only,5,0.1978744950455924,0.032309726662294785,0.2233646178967692,198465
umbrella_only,6,0.23002848063285153,0.034855124991003864,0.17815659637154213,191778
umbrella_only,7,0.26218246622011065,0.03708095655275297,0.14125221471462068,183571
umbrella_only,8,0.2943364518073698,0.03908779294351329,0.1098305330588345,177687
umbrella_only,9,0.3264904373946289,0.040796907189700624,0.08431718101227537,174996
umbrella_only,10,0.35864442298188803,0.04253008934788728,0.05951357168205118,176950
umbrella_only,11,0.39079840856914716,0.044077788489477535,0.03820427380760738,177932
umbrella_only,12,0.42295239415640634,0.04539662510815824,0.020628382793014266,178782
umbrella_only,13,0.45510637974366547,0.046175853781989476,0.010482164617608758,182251
umbrella_only,14,0.4872603653309246,0.046994932778728696,0.0,187079
umbrella_only,15,0.5194143509181837,0.0445463335611367,0.03190054916419727,183010
umbrella_only,16,0.5515683365054429,0.042339352822324275,0.062193215127321455,176656
umbrella_only,17,0.5837223220927019,0.03969782244422794,0.10059830880682297,170642
umbrella_only,18,0.6158763076799612,0.04069177013745619,0.08585552170507094,170628
umbrella_only,19,0.6480302932672202,0.04275225984225774,0.05640742494348605,172676
umbrella_only,20,0.6801842788544794,0.042146927231766176,0.06490884858160051,178187
umbrella_only,21,0.7123382644417384,0.041900918361310616,0.06839879839080232,187753
umbrella_only,22,0.7444922500289977,0.04393225034893912,0.040175964401877984,200024
umbrella_only,23,0.7766462356162568,0.041698721150778786,0.07128259987870345,203799
umbrella_only,24,0.8088002212035159,0.03726647720566191,0.13827698198840443,200205
umbrella_only,25,0.8409542067907751,0.0322935271835534,0.22366359671193048,184646
umbrella_only,26,0.8731081923780342,0.019856034355872694,0.5136119128625822,132141
umbrella_only,27,0.9052621779652934,0.016492368470503622,0.6242655278653351,70163
umbrella_only,28,0.9374161635525524,0.006865154483237548,1.1467646500032769,14284
umbrella_only,29,0.9695701491398117,4.084042067320494e-05,4.2018178739375465,349
gamd_exponential,0,0.037104567109296716,0.0003020727640343791,3.9705612493964084,1133
gamd_exponential,1,0.06925855269655586,0.004456425184715706,2.3660323584267275,23245
gamd_exponential,2,0.101412538283815,0.018011459685419305,1.5333969806298335,108700
gamd_exponential,3,0.13356652387107412,0.04915273190515635,0.9348962329113478,177989
gamd_exponential,4,0.16572050945833325,0.022791778912153185,1.3930655685548974,198215
gamd_exponential,5,0.1978744950455924,0.023843259534839744,1.3661777044754162,198465
gamd_exponential,6,0.23002848063285153,0.017936752456497337,1.5358748574700627,191778
gamd_exponential,7,0.26218246622011065,0.017639817430258622,1.5458266474193199,183571
gamd_exponential,8,0.2943364518073698,0.01933182097605294,1.491221974958393,177687
gamd_exponential,9,0.3264904373946289,0.02847936576518041,1.2602528068823138,174996
gamd_exponential,10,0.35864442298188803,0.08010504961874398,0.6437272104802315,176950
gamd_exponential,11,0.39079840856914716,0.014054155638098663,1.6812986781963928,177932
gamd_exponential,12,0.42295239415640634,0.10586926093668915,0.4774780686700414,178782
gamd_exponential,13,0.45510637974366547,0.03968046637609941,1.0625184999546846,182251
gamd_exponential,14,0.4872603653309246,0.051822284565128704,0.9033665550288098,187079
gamd_exponential,15,0.5194143509181837,0.04319122054157599,1.0119770136026824,183010
gamd_exponential,16,0.5515683365054429,0.009350437420067447,1.9242314191411851,176656
gamd_exponential,17,0.5837223220927019,0.03536319945875724,1.1311887196118495,170642
gamd_exponential,18,0.6158763076799612,0.08153529790514905,0.6331768632157574,170628
gamd_exponential,19,0.6480302932672202,0.0137304199073511,1.6951918140561566,172676
gamd_exponential,20,0.6801842788544794,0.009785642596450626,1.8971101675921749,178187
gamd_exponential,21,0.7123382644417384,0.007023816607725646,2.0948029248804994,187753
gamd_exponential,22,0.7444922500289977,0.23583346882707265,0.0,200024
gamd_exponential,23,0.7766462356162568,0.007337566713286651,2.0687503607266726,203799
gamd_exponential,24,0.8088002212035159,0.004027666165904988,2.4263399280451052,200205
gamd_exponential,25,0.8409542067907751,0.021159433518442242,1.437368734472153,184646
gamd_exponential,26,0.8731081923780342,0.034498472717019696,1.1459476829311552,132141
gamd_exponential,27,0.9052621779652934,0.003349201360899326,2.5363109226607237,70163
gamd_exponential,28,0.9374161635525524,0.00033539179130126414,3.9081840329503166,14284
gamd_exponential,29,0.9695701491398117,2.0627199281975044e-06,6.943404391314024,349
gamd_cumulant2,0,0.037104567109296716,0.025047449013155684,0.5715254868061044,1133
gamd_cumulant2,1,0.06925855269655586,0.0395552151875715,0.2991241599238461,23245
gamd_cumulant2,2,0.101412538283815,0.04023926774729715,0.28890250992047495,108700
gamd_cumulant2,3,0.13356652387107412,0.05808798102427851,0.07004249606391633,177989
gamd_cumulant2,4,0.16572050945833325,0.0653297779132967,0.0,198215
gamd_cumulant2,5,0.1978744950455924,0.06262213884041329,0.02523495734190906,198465
gamd_cumulant2,6,0.23002848063285153,0.04880951600736736,0.17379451868268858,191778
gamd_cumulant2,7,0.26218246622011065,0.04671365866681426,0.19995925933429226,183571
gamd_cumulant2,8,0.2943364518073698,0.05321654128914776,0.12225996482305779,177687
gamd_cumulant2,9,0.3264904373946289,0.051444094969874184,0.14245408812394356,174996
gamd_cumulant2,10,0.35864442298188803,0.05717351898036932,0.07950234691381741,176950
