replica,step,cv2
6,9415750,0.8493887782096863
11,7566750,0.8549574613571167
11,8206250,0.8295634984970093
11,8277250,0.8553735017776489
11,8332750,0.8274935483932495
11,8360250,0.8192662000656128
11,8437500,0.819793701171875
11,8469000,0.8340298533439636
11,8534500,0.8417862057685852
11,8566000,0.8440548181533813
11,8859750,0.86354660987854
11,8928750,0.8442842960357666
11,9035500,0.8278387784957886
11,9080750,0.8299161195755005
11,9123250,0.844784140586853
11,9215750,0.8448724150657654
11,9270500,0.8242852091789246
11,9332500,0.8426042199134827
11,9376500,0.825592041015625
11,9395000,0.8312485814094543
14,6949000,0.8599212169647217
14,7316500,0.8352721929550171
14,7367500,0.882753849029541
21,8736500,0.8493196368217468
21,8784000,0.8354378342628479
21,8811000,0.8489324450492859
21,8869500,0.8564484715461731
21,8901500,0.8752484917640686
21,8955250,0.8318181037902832
24,8994250,0.8359151482582092
24,9149250,0.8308041095733643
24,9353750,0.8353362679481506
25,7992000,0.8675889372825623
25,8272000,0.8406297564506531
25,8337750,0.8411142826080322
25,8533500,0.8286476731300354
25,8565250,0.8276697397232056
25,8692750,0.8447226881980896
25,8764500,0.8467867970466614
25,8791750,0.8237521648406982
25,8818000,0.8610942959785461
26,6119000,0.831849217414856
27,7866000,0.83562171459198
27,7886750,0.8354070782661438
28,6253750,0.8289726972579956
28,6668750,0.8289991617202759
28,6832000,0.8404079675674438
28,7065500,0.8515508770942688
28,7088750,0.8391851782798767
29,4945250,0.8183175921440125
29,5476250,0.8409656882286072
29,5606000,0.8509700298309326
29,5650500,0.8470283150672913
29,5678250,0.8399505019187927
29,5687500,0.8263442516326904
29,5717000,0.8555060625076294
29,5768500,0.8708668351173401
29,5813750,0.8368385434150696
29,5839000,0.8843742609024048
29,5849500,0.8544585704803467
29,5906000,0.8299464583396912
29,5993250,0.8237112164497375
29,6024500,0.8328753113746643
29,6037750,0.8487984538078308
30,5594750,0.8942447900772095
30,5639250,0.8475927114486694
30,6699000,0.8420614004135132
30,6724500,0.821730375289917
30,6751750,0.8517888784408569
30,6792250,0.819956362247467
30,6879000,0.8437169790267944
30,6908500,0.8546501398086548
30,6937250,0.8491930365562439
30,6959750,0.8181243538856506
30,7022500,0.8195237517356873
30,7084000,0.8215575218200684
30,7111000,0.8267523646354675
30,7153000,0.8389352560043335
30,7191750,0.8453968167304993
30,7964500,0.831965982913971
30,8102500,0.8566579818725586
30,8124750,0.8358040452003479
30,8993250,0.8175795674324036
30,9022000,0.8208605051040649
30,9041500,0.8606685400009155
30,9066250,0.8632822036743164
30,9099500,0.8483627438545227
30,9115750,0.8220227956771851
30,9202500,0.8306077122688293
30,9232000,0.8190350532531738
30,9274750,0.829746663570404
31,6045750,0.8228926658630371
31,7776750,0.8459411859512329
31,8028500,0.8426452279090881
31,8061500,0.826050877571106
31,8407500,0.8406760692596436
32,3419000,0.8264439105987549
32,3476250,0.8250914812088013
32,3506750,0.8324154615402222
36,3113250,0.826218843460083
36,3179500,0.8396810293197632
36,3240000,0.8317962884902954
36,3301500,0.8175761699676514
36,3330250,0.8338754177093506
36,3345250,0.8246949315071106
36,3380000,0.8221811056137085
36,3417250,0.8248639106750488
36,3469750,0.836951494216919
36,3643250,0.822513222694397
36,3671000,0.8375697135925293
36,3738750,0.8401176333427429
36,3852750,0.8194365501403809
36,3880000,0.8270044922828674
36,3941750,0.8417441844940186
36,4017750,0.8336079120635986
36,4204000,0.8400655388832092
38,4406500,0.83487468957901
39,3445750,0.8592647910118103
39,3461250,0.8412697911262512
39,3537500,0.8503466248512268
39,3675250,0.8271899223327637
39,3710500,0.8230040669441223
39,3737750,0.8324146866798401
39,4062500,0.8606102466583252
39,4082500,0.8321572542190552
40,3149000,0.8514513969421387
