replica,step,cv2
40,3171000,0.8616816401481628
40,3195250,0.8345236778259277
40,3307000,0.8286982178688049
40,3327000,0.8577943444252014
40,3341500,0.8507620096206665
40,3386000,0.8529673218727112
40,3419250,0.8488161563873291
40,3451500,0.8284996747970581
41,3111750,0.822603166103363
48,2756000,0.8506407737731934
48,2853250,0.8456379175186157
48,3175500,0.8201483488082886
48,3290250,0.8523727059364319
48,3355750,0.8450241088867188
48,3374250,0.8510304093360901
48,3543250,0.8305873274803162
48,3581250,0.8236860036849976
48,4006000,0.8379228115081787
48,4041750,0.8290833830833435
48,4086750,0.8533689975738525
48,4113250,0.8199796676635742
48,4268250,0.8428589701652527
48,4286250,0.8702840805053711
48,4304500,0.8190415501594543
48,4337250,0.8222623467445374
48,4406500,0.824171781539917
49,4104000,0.8178605437278748
49,4121500,0.8184705376625061
49,4145750,0.8242749571800232
49,4291750,0.8490628600120544
52,2461250,0.8504943251609802
54,2486750,0.8601661324501038
54,2504000,0.8760038614273071
54,2538000,0.9186477661132812
54,2552500,0.8629657030105591
54,2570500,0.8299325704574585
54,2585750,0.8277586102485657
54,2606250,0.8243404626846313
54,2615500,0.8326311707496643
54,2634250,0.8671739101409912
54,2659750,0.8201523423194885
54,2704250,0.8408172726631165
54,2732750,0.8974977135658264
54,2782250,0.8257767558097839
54,2815500,0.8532474040985107
54,2843750,0.8693872690200806
54,2888750,0.8293302655220032
54,2907750,0.8715181350708008
54,2933750,0.8911431431770325
55,2330000,0.8614411950111389
55,2366500,0.8468326926231384
55,2455250,0.8404624462127686
55,2465750,0.8426854610443115
55,2847000,0.854925274848938
55,2880750,0.8439630270004272
55,2915500,0.8481365442276001
55,2930250,0.8689602017402649
55,3525250,0.8179689645767212
55,3548000,0.8752202987670898
55,3710750,0.8373838663101196
55,3891500,0.8174953460693359
55,3942750,0.8358144164085388
55,3979500,0.8626255393028259
55,4038000,0.8547306060791016
55,4138250,0.8280320167541504
56,3632000,0.8197875618934631
56,3674750,0.8413382172584534
56,3694500,0.8425596952438354
56,3734500,0.8246209621429443
56,3870750,0.8447614908218384
57,4208750,0.8184247016906738
57,4389500,0.850123941898346
60,1014750,0.8732413649559021
60,1024500,0.9120521545410156
60,1133500,0.8905729651451111
60,1168000,0.8964455127716064
60,1181500,0.8190685510635376
60,1282000,0.8354682326316833
61,1014500,0.892284095287323
61,1019000,0.8654793500900269
61,1043500,0.8882246017456055
61,1048500,0.8887150883674622
61,1093250,0.8975003361701965
61,3460000,0.8509581089019775
61,3694500,0.81745845079422
61,3886000,0.8303745985031128
61,3948000,0.852728545665741
62,1022250,0.8461313843727112
62,1026000,0.879182755947113
62,1039250,0.8756906986236572
62,1054750,0.8341453671455383
62,1072500,0.9202489852905273
62,1078750,0.9245052337646484
62,1088250,0.8568729162216187
62,2213000,0.8761346936225891
62,2220750,0.8728749752044678
62,3378500,0.8528134226799011
63,1014750,0.8538099527359009
63,1030750,0.8299330472946167
63,1034250,0.9116382598876953
63,1073750,0.9146460890769958
63,1079000,0.9100866317749023
63,1099500,0.868248701095581
63,1103500,0.8703628182411194
63,1111000,0.864618718624115
63,1353250,0.8836307525634766
63,1362250,0.9418601989746094
63,1413500,0.9449598789215088
63,4402750,0.8463187217712402
