window,center_A,k_kcal_mol_A2,secondary_center_window_table,secondary_k_kcal_mol_window_table,samples,cv_mean_A,cv_std_A,cv2_mean,cv2_std,self_bias_median_kT,self_bias_p90_kT,overlap_left,overlap_right,cv_space_neighbor,cv_space_overlap_marginal,cv_space_overlap_joint
51,0.724772,502.3906,,,8440,0.7382659778422654,0.034997968889529156,,,4.073947018608912,7.442056176771401,0.970734597156398,0.6540284360189573,48,0.814218,
52,0.776347,389.2511,,,8440,0.7730962455484539,0.04146565366379381,,,0.288569299519158,1.497941428401553,0.6540284360189573,0.8943127962085308,53,0.894313,
53,0.776347,389.2511,,,8440,0.7842801510934582,0.04081392642116033,,,3.215365804600551,5.416070246734063,0.8943127962085308,0.9385071090047393,52,0.894313,
54,0.776347,389.2511,,,8440,0.7910436306095802,0.040824273649811914,,,4.014784823018337,7.107733545222356,0.9385071090047393,0.9563981042654028,52,0.839573,
55,0.776347,389.2511,,,8440,0.7938129549484118,0.04026279253314931,,,3.907413424184068,7.240766171302548,0.9563981042654028,0.704739336492891,52,0.802251,
56,0.827922,326.9547,,,8440,0.8268066520586398,0.04130687215850201,,,0.22685278080458593,1.2342061298963722,0.704739336492891,0.9047393364928911,57,0.904739,
57,0.827922,326.9547,,,8440,0.8352541665047831,0.03893276428885789,,,2.918604546434369,4.885296568339786,0.9047393364928911,0.932345971563981,56,0.904739,
58,0.827922,326.9547,,,8440,0.8410485709024267,0.0389158492751034,,,3.7380095937889206,6.648216970668828,0.932345971563981,0.9648104265402843,56,0.837322,
59,0.827922,326.9547,,,8440,0.8442419173663827,0.039192516277658206,,,3.6200150527540322,6.850240690340286,0.9648104265402843,0.7550947867298577,56,0.814336,
60,0.879497,344.7293,,,8440,0.8682930710685761,0.03463963930178464,,,0.16510330318212912,1.0139152840716883,0.7550947867298577,0.9244075829383887,61,0.924408,
61,0.879497,344.7293,,,8440,0.8744906873287748,0.03310407939068414,,,2.6964208247979333,4.6002821986680775,0.9244075829383887,0.9444312796208532,60,0.924408,
62,0.879497,344.7293,,,8440,0.879278847193831,0.0326489434715389,,,3.429976173829777,6.258326987609833,0.9444312796208532,0.9594786729857819,60,0.880450,
63,0.879497,344.7293,,,8440,0.8820280380794222,0.03292388872037127,,,3.358142165927296,6.388579259762402,0.9594786729857819,,60,0.853555,
