method,bin,cv_A,probability,pmf_kcal_mol,counts,boost_mean_kj_mol,boost_var_kj2_mol2
gamd_cumulant3,0,0.037104567109296716,0.0009743703614681656,2.797966183201412,112,5.064032312188671,50.61599907652834
gamd_cumulant3,1,0.06925855269655586,0.005101647627798822,1.8110048822231073,2530,2.406848039482657,34.19234615229553
gamd_cumulant3,2,0.101412538283815,0.04896620927100432,0.46274626875851643,11965,3.3677645870355883,43.74836285807269
gamd_cumulant3,3,0.13356652387107412,0.06867317316711401,0.2611077266494115,21726,3.724674956618795,45.57575198679952
gamd_cumulant3,4,0.16572050945833325,0.10641433817916067,0.0,22438,3.821276243915908,46.943866870908806
gamd_cumulant3,5,0.1978744950455924,0.07633449072685132,0.19805398592739532,21679,3.6278599771468762,44.60282920088265
gamd_cumulant3,6,0.23002848063285153,0.06729283115107176,0.27321273387860234,21782,3.607362422590094,43.98653485765103
gamd_cumulant3,7,0.26218246622011065,0.06589146578905213,0.2857588165182272,22072,3.6739424420493174,43.83165039678865
gamd_cumulant3,8,0.2943364518073698,0.06615262500045764,0.283400616144283,21737,3.754588861763762,44.19683083183941
gamd_cumulant3,9,0.3264904373946289,0.06295966855061269,0.31289285325492067,21720,3.56174871279038,42.82168913495497
gamd_cumulant3,10,0.35864442298188803,0.07019100663321273,0.24807471010005,20962,3.8884777303898055,45.0655542165237
gamd_cumulant3,11,0.39079840856914716,0.05538206439022634,0.3893437085463962,21024,3.7392229469025455,43.239303178167695
gamd_cumulant3,12,0.42295239415640634,0.05977553685711785,0.3438323388635238,21033,3.700547212488435,42.885354069822526
gamd_cumulant3,13,0.45510637974366547,0.06384087008085389,0.3046066630984914,21191,3.779639526851213,43.32721320850893
gamd_cumulant3,14,0.4872603653309246,0.06617980491417363,0.28315572360623964,21556,3.681805174268731,42.623744929598324
gamd_cumulant3,15,0.5194143509181837,0.03311013386486655,0.6960188463564994,21656,3.419396491097029,39.55031314160727
gamd_cumulant3,16,0.5515683365054429,0.023819937505921065,0.8923445644594132,20440,3.680441833977988,40.320937839928085
gamd_cumulant3,17,0.5837223220927019,0.010031591997188005,1.4078950766110745,20472,3.6624326394362883,37.861708997630025
gamd_cumulant3,18,0.6158763076799612,0.010325107530776704,1.3907022381681753,21020,3.470340651711456,36.52226277995264
gamd_cumulant3,19,0.6480302932672202,0.01177538381052981,1.312347162937536,20508,3.5113620084853445,36.883319992912625
gamd_cumulant3,20,0.6801842788544794,0.0097160538126248,1.42694824989855,21432,3.359712691802901,35.36815141298163
gamd_cumulant3,21,0.7123382644417384,0.005088088451682808,1.8125914710148978,22529,3.2707345781916963,33.17954784608898
gamd_cumulant3,22,0.7444922500289977,0.005125275733758662,1.8082501560163011,21212,3.272540849404637,33.07831405815116
gamd_cumulant3,23,0.7766462356162568,0.0025340852102693594,2.2281573159820294,18802,3.288231560026212,31.607762760386123
gamd_cumulant3,24,0.8088002212035159,0.001349555577374376,2.603773123716987,19397,3.092712968432025,29.052705118684546
gamd_cumulant3,25,0.8409542067907751,0.0010965951557114068,2.727515500193322,22004,3.222113510254198,28.994082324396945
gamd_cumulant3,26,0.8731081923780342,0.0007569139410913535,2.9485218947667846,22590,3.2551231795769566,28.161697538654902
gamd_cumulant3,27,0.9052621779652934,0.0007532718542220265,2.9513974023730594,11630,3.46254264337582,29.971973553389535
gamd_cumulant3,28,0.9374161635525524,0.0003701638429244627,3.3749583437880153,2542,3.5091760911321885,29.508873295543047
gamd_cumulant3,29,0.9695701491398117,1.773901088264653e-05,5.186203320440871,431,5.9582260813470125,26.528285265832064
