method,bin,cv_A,probability,pmf_kcal_mol,counts
gamd_exponential,0,0.037104567109296716,2.632031023790817e-05,5.138121402884821,112
gamd_exponential,1,0.06925855269655586,0.0023777145638254745,2.4532768104110776,2530
gamd_exponential,2,0.101412538283815,0.0073616891779440564,1.7795253480670543,11965
gamd_exponential,3,0.13356652387107412,0.012927114049351906,1.443864159617135,21726
gamd_exponential,4,0.16572050945833325,0.13193372454187116,0.05899776320873995,22438
gamd_exponential,5,0.1978744950455924,0.03048195316607639,0.9324723422798611,21679
gamd_exponential,6,0.23002848063285153,0.022261667335323348,1.1198270904362064,21782
gamd_exponential,7,0.26218246622011065,0.1031193077568003,0.20589969030191302,22072
gamd_exponential,8,0.2943364518073698,0.023777595474596378,1.0805534610255267,21737
gamd_exponential,9,0.3264904373946289,0.02750070793281386,0.9938310862155655,21720
gamd_exponential,10,0.35864442298188803,0.01886650987078791,1.2184785828827316,20962
gamd_exponential,11,0.39079840856914716,0.14565815408718916,0.0,21024
gamd_exponential,12,0.42295239415640634,0.025055759810879957,1.0493384786063644,21033
gamd_exponential,13,0.45510637974366547,0.020095535664538967,1.180855262930728,21191
gamd_exponential,14,0.4872603653309246,0.09265875547089156,0.26966700639719754,21556
gamd_exponential,15,0.5194143509181837,0.015241993771915879,1.345660064287327,21656
gamd_exponential,16,0.5515683365054429,0.05159232836082455,0.6187495182191205,20440
gamd_exponential,17,0.5837223220927019,0.005150795401599444,1.9924373521789516,20472
gamd_exponential,18,0.6158763076799612,0.1057462073063352,0.19090307037467968,21020
gamd_exponential,19,0.6480302932672202,0.022253875294291164,1.1200357956618348,20508
gamd_exponential,20,0.6801842788544794,0.011341268880590467,1.521889022434106,21432
gamd_exponential,21,0.7123382644417384,0.013299495450543607,1.4269336988125447,22529
gamd_exponential,22,0.7444922500289977,0.025918091130617184,1.0291658770694343,21212
gamd_exponential,23,0.7766462356162568,0.0058035607268402765,1.9213030916842002,18802
gamd_exponential,24,0.8088002212035159,0.02880933062735415,0.9661169986210347,19397
gamd_exponential,25,0.8409542067907751,0.04734287929845988,0.6699934922396562,22004
gamd_exponential,26,0.8731081923780342,0.001734275423975856,2.64139553489849,22590
gamd_exponential,27,0.9052621779652934,0.0007391175204757269,3.1498543628942235,11630
gamd_exponential,28,0.9374161635525524,0.0008973321038998586,3.0342174980107037,2542
gamd_exponential,29,0.9695701491398117,2.6939489148447483e-05,5.124259273250284,431
