method,bin,cv_A,probability,pmf_kcal_mol,counts,boost_mean_kj_mol,boost_var_kj2_mol2
gamd_cumulant2,0,0.037104567109296716,0.005042570318713607,1.5747795853503326,112,5.064032312188671,50.61599907652834
gamd_cumulant2,1,0.06925855269655586,0.004297264856657952,1.6701279481478921,2530,2.406848039482657,34.19234615229553
gamd_cumulant2,2,0.101412538283815,0.024559491439862215,0.6309475071794313,11965,3.3677645870355883,43.74836285807269
gamd_cumulant2,3,0.13356652387107412,0.04565129686663925,0.2613670886592616,21726,3.724674956618795,45.57575198679952
gamd_cumulant2,4,0.16572050945833325,0.058250418526653795,0.11607110212201688,22438,3.821276243915908,46.943866870908806
gamd_cumulant2,5,0.1978744950455924,0.04834839743183605,0.22714679900614954,21679,3.6278599771468762,44.60282920088265
gamd_cumulant2,6,0.23002848063285153,0.047486740376450655,0.23786730142986867,21782,3.607362422590094,43.98653485765103
gamd_cumulant2,7,0.26218246622011065,0.049949676059105566,0.20772210973754235,22072,3.6739424420493174,43.83165039678865
gamd_cumulant2,8,0.2943364518073698,0.05730551108234771,0.1258210091476064,21737,3.754588861763762,44.19683083183941
gamd_cumulant2,9,0.3264904373946289,0.05150144364830681,0.18948325921059284,21720,3.56174871279038,42.82168913495497
gamd_cumulant2,10,0.35864442298188803,0.06659471757507911,0.03626061840323436,20962,3.8884777303898055,45.0655542165237
gamd_cumulant2,11,0.39079840856914716,0.0602464736745146,0.09598478028972868,21024,3.7392229469025455,43.239303178167695
gamd_cumulant2,12,0.42295239415640634,0.06411454065320114,0.05888736958400598,21033,3.700547212488435,42.885354069822526
gamd_cumulant2,13,0.45510637974366547,0.07077096117265544,0.0,21191,3.779639526851213,43.32721320850893
gamd_cumulant2,14,0.4872603653309246,0.06548123162795419,0.04631290932549792,21556,3.681805174268731,42.623744929598324
gamd_cumulant2,15,0.5194143509181837,0.043588724012526635,0.2889297243245652,21656,3.419396491097029,39.55031314160727
gamd_cumulant2,16,0.5515683365054429,0.04083099419482872,0.32789306000906016,20440,3.680441833977988,40.320937839928085
gamd_cumulant2,17,0.5837223220927019,0.031066278948927866,0.4908349672856329,20472,3.6624326394362883,37.861708997630025
gamd_cumulant2,18,0.6158763076799612,0.027609925582874662,0.561150772376767,21020,3.470340651711456,36.52226277995264
gamd_cumulant2,19,0.6480302932672202,0.02999133954774582,0.511828366094444,20508,3.5113620084853445,36.883319992912625
gamd_cumulant2,20,0.6801842788544794,0.02586669557196355,0.600031859242943,21432,3.359712691802901,35.36815141298163
gamd_cumulant2,21,0.7123382644417384,0.020250503052034272,0.7459582021483708,22529,3.2707345781916963,33.17954784608898
gamd_cumulant2,22,0.7444922500289977,0.017943763815435127,0.818056158876181,21212,3.272540849404637,33.07831405815116
gamd_cumulant2,23,0.7766462356162568,0.012029193410961347,1.056464723283939,18802,3.288231560026212,31.607762760386123
gamd_cumulant2,24,0.8088002212035159,0.008012386842579078,1.2987135349971513,19397,3.092712968432025,29.052705118684546
gamd_cumulant2,25,0.8409542067907751,0.007585782925335183,1.3313312305780758,22004,3.222113510254198,28.994082324396945
gamd_cumulant2,26,0.8731081923780342,0.006814223696464655,1.3952776831096192,22590,3.2551231795769566,28.161697538654902
gamd_cumulant2,27,0.9052621779652934,0.0053844080868955075,1.5356765028734158,11630,3.46254264337582,29.971973553389535
gamd_cumulant2,28,0.9374161635525524,0.0027659973516367506,1.932783172379564,2542,3.5091760911321885,29.508873295543047
gamd_cumulant2,29,0.9695701491398117,0.0006590476498126479,2.787893489730575,431,5.9582260813470125,26.528285265832064
