# overlap space: CV1 marginal (30 primary bins); pairwise histogram-intersection overlap of the primary CV only. This CANNOT see a secondary-CV gap: for the joint (CV1, CV2) overlap see overlap_matrix_joint.csv (written only when this run has a biased second axis). docs/chignolin_6_low_ess_root_cause.md
window,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
10,0.21537732496149747,0.22864589503613314,0.2333846700627888,0.23350313943845513,0.5113138253761402,0.5282549460964341,0.5043241322118233,0.5269517829641037,0.949650515341784,0.985428266793034,1.0,0.9816372467717095,0.5177111716621253,0.49141097026418673,0.4831181139675394,0.47577301267622324,0.1756900841132567,0.1762824309915887,0.16941120720293804,0.15720886150929986,0.05200805591754531,0.047743158393555266,0.045847648382893014,0.04300438336689966,0.005923468783319512,0.0062788769103186825,0.006397346285985072,0.006397346285985072,0.00023693875133278048,0.00023693875133278048,0.0003554081269991707,0.0005923468783319512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.2244994668878095,0.2377680369624452,0.24250681198910082,0.24262528136476721,0.5204359673024523,0.5373770880227461,0.5134462741381353,0.5360739248904158,0.9476365359554555,0.9856652055443667,0.9816372467717095,1.0,0.5254116810804407,0.499111479682502,0.4908186233858548,0.48347352209453853,0.18421987916123683,0.18481222603956876,0.17794100225091813,0.16573865655727993,0.053074280298542824,0.048572444023219995,0.04667693401255774,0.04383366899656439,0.006752754412984244,0.007108162539983414,0.007226631915649804,0.007226631915649804,0.00047387750266556097,0.00047387750266556097,0.0005923468783319512,0.0008292856296647317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.06717213600284327,0.08044070607747897,0.08281009359080678,0.08529795047980097,0.17971804288591398,0.19571140860087666,0.19180191920388578,0.19452671484421277,0.473285155787229,0.5113138253761402,0.5177111716621253,0.5254116810804407,1.0,0.9703826560834025,0.9626821466650871,0.9578249022627652,0.5040871934604905,0.5046795403388225,0.49780831655017177,0.48560597085653356,0.16111835090629073,0.15661651463096793,0.15472100462030566,0.1518777396043123,0.030565098921928685,0.026300201397938632,0.026418670773605026,0.02938040516526478,0.0036725506456580974,0.0035540812699917075,0.004027958772657268,0.004027958772657268,0.0005924170616113745,0.0005924170616113745,0.00035545023696682463,0.00011848341232227489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.06551356474351382,0.07771591043715201,0.07653121668048811,0.07901907356948229,0.17343916597559533,0.18943253169055801,0.18552304229356711,0.1882478379338941,0.44698495438929037,0.48501362397820164,0.49141097026418673,0.499111479682502,0.9703826560834025,1.0,0.9767800023693874,0.9759507167397228,0.5303873948584291,0.5309797417367611,0.5159341310271295,0.500296173439166,0.16289539154128657,0.15839355526596374,0.1564980452553015,0.15365478023930815,0.027603364530268924,0.023338467006278875,0.023456936381945265,0.026418670773605022,0.003435611894325317,0.003317142518658927,0.0037910200213244877,0.0037910200213244873,0.0008292856296647317,0.0008292856296647317,0.0005923889882996051,0.00035542216365505537,0.00011848341232227489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0581684634521976,0.06338111598151877,0.06219642222485487,0.06468427911384907,0.1591043715199621,0.17509773723492478,0.17118824783793388,0.17391304347826086,0.4386920980926431,0.4767207676815543,0.4831181139675394,0.4908186233858548,0.9626821466650871,0.9767800023693874,1.0,0.9790309205070489,0.5226868854401137,0.5232792323184456,0.5126169885084706,0.4969790309205071,0.15957824902262766,0.15507641274730483,0.1531809027366426,0.15033763772064923,0.028195711408600877,0.023930813884610824,0.024049283260277218,0.027011017651936975,0.004027958772657268,0.003909489396990878,0.0043833668996564375,0.004383366899656438,0.0007108864372777647,0.0007108864372777647,0.0004739196126332149,0.0002369527879886651,0.00011846937566639024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.06053785096552541,0.06575050349484658,0.06456580973818268,0.06705366662717688,0.16147375903328992,0.1774671247482526,0.1735576353512617,0.1762824309915887,0.4313469968013269,0.46937566639023814,0.47577301267622324,0.48347352209453853,0.9578249022627652,0.9759507167397228,0.9790309205070489,1.0,0.5360739248904158,0.5366662717687478,0.5296765786044307,0.5140386210164672,0.17663783911858785,0.17213600284326502,0.17024049283260279,0.16739722781660937,0.03459305769458595,0.0303281601705959,0.030446629546262288,0.03340836393792205,0.0036725506456580974,0.0035540812699917075,0.004027958772657268,0.004027958772657268,0.0005924170616113745,0.0005924170616113745,0.00035545023696682463,0.00011848341232227489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.008648264423646487,0.013860916952967657,0.012676223196303755,0.01516408008529795,0.04134581210757019,0.043952138372230776,0.040634995853571845,0.04371519962089799,0.17189906409193223,0.1793626347589148,0.1756900841132567,0.18421987916123683,0.5040871934604905,0.5303873948584291,0.5226868854401137,0.5360739248904158,1.0,0.9821111242743751,0.9697903092050706,0.9604312285274257,0.4486435256486198,0.4375074043359792,0.4325316905579908,0.4266082217746712,0.13860916952967658,0.13043478260869568,0.1432294751806658,0.1383722307783438,0.038857955218576,0.03388224144058761,0.03613315957824902,0.03305295581092287,0.0058050695909325455,0.0058050695909325455,0.005213242068868326,0.004739308419579227,0.00035542216365505537,0.00023693875133278048,0.00023693875133278048,0.00023693875133278048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.008411325672313705,0.013623978201634876,0.012439284444970973,0.014927141333965168,0.04134581210757019,0.043952138372230776,0.040634995853571845,0.04371519962089799,0.1724914109702642,0.17995498163724677,0.1762824309915887,0.18481222603956876,0.5046795403388225,0.5309797417367611,0.5232792323184456,0.5366662717687478,0.9821111242743751,1.0,0.973581329226395,0.9579433716384315,0.45350077005094186,0.44236464873830117,0.4373889349603128,0.4314654661769933,0.13564743513801683,0.1274730482170359,0.14026774078900606,0.13541049638668404,0.03731785333491293,0.03234213955692453,0.034593057694585955,0.031512853927259804,0.004264967707269472,0.004264967707269472,0.004028000882624922,0.0037910340579803722,0.0002369527879886651,0.00011846937566639024,0.00011846937566639024,0.00011846937566639024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.008292856296647316,0.013505508825968486,0.012320815069304583,0.014808671958298778,0.03826560834024405,0.04087193460490463,0.0375547920862457,0.040634995853571845,0.16562018718161356,0.17308375784859614,0.16941120720293804,0.17794100225091813,0.49780831655017177,0.5159341310271295,0.5126169885084706,0.5296765786044307,0.9697903092050706,0.973581329226395,1.0,0.9792678592583817,0.4786162776922166,0.4674801563795759,0.4625044426015875,0.45658097381826795,0.14630967894799193,0.13813529202701103,0.15092998459898116,0.14607274019665917,0.03862101646724322,0.03364530268925483,0.03589622082691624,0.03281601705959009,0.005568130839599765,0.005568130839599765,0.004976303317535545,0.004502369668246446,0.00011848341232227489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.008055917545314536,0.013268570074635706,0.012083876317971804,0.014571733206965998,0.03589622082691624,0.03850254709157683,0.0351854045729179,0.03826560834024404,0.15341784148797535,0.16088141215495794,0.15720886150929986,0.16573865655727993,0.48560597085653356,0.500296173439166,0.4969790309205071,0.5140386210164672,0.9604312285274257,0.9579433716384315,0.9792678592583817,1.0,0.4879753583698614,0.47683923705722076,0.4718635232792323,0.4659400544959128,0.14121549579433718,0.13304110887335624,0.1458358014453264,0.14097855704300438,0.03862101646724322,0.03364530268925483,0.03589622082691624,0.03281601705959009,0.005568130839599765,0.005568130839599765,0.004976303317535545,0.004502369668246446,0.00011848341232227489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
