variant,metric,selected_method,checkpoint_index,checkpoint_step,n_epochs_included,epoch_label,n_samples,n_samples_total,frac_total,JS,RMSE_F_kcal_mol,barrier_error_kcal_mol,delta_JS,delta_RMSE_F_kcal_mol,occupied_bins,occupied_bins_ref,occupied_bins_frac_ref,mbar_converged,mbar_iterations,mbar_max_delta,mbar_backend,mbar_ess,mbar_ess_frac,gamd_reweight_ess,gamd_reweight_ess_frac
epoch,cv_distance,umbrella_only,2,2,2,/run/media/sulcjo/sulcjo-data/IOCB/md/2026_peptide_sampler/RUNS/chignolin_7/adaptive_production/epoch_001/baseline,334896,4583936,0.07305861163855691,0.03223784472202124,0.5548989125763378,0.11000695130918459,nan,nan,30,30,1.0,1,37,5.183389752971834e-07,numba-anderson,95929.67226786487,0.28644615721855404,1.884978543000743,5.6285489913308705e-06
epoch,cv_distance,umbrella_only,3,3,3,/run/media/sulcjo/sulcjo-data/IOCB/md/2026_peptide_sampler/RUNS/chignolin_7/adaptive_production/epoch_001/topup_001_2648000,504352,4583936,0.11002596894895565,0.02187635898834408,0.4812958199245503,0.34424861192127665,0.002480833539126168,0.10755765276525855,30,30,1.0,1,33,6.014299778200893e-07,numba-anderson,101280.091222689,0.20081231208102476,5.483422836646774,1.0872213923305101e-05
epoch,cv_distance,umbrella_only,4,4,4,/run/media/sulcjo/sulcjo-data/IOCB/md/2026_peptide_sampler/RUNS/chignolin_7/adaptive_production/epoch_001/topup_002_3378000,504352,4583936,0.11002596894895565,0.021875468553980724,0.4812904858339008,0.3442581482715923,1.6562529442927842e-11,8.365484352016658e-06,30,30,1.0,1,22,6.9502493182938e-07,numba-anderson,101280.56681903428,0.20081325506597433,5.48350615822936,1.0872379128524047e-05
epoch,cv_distance,umbrella_only,5,5,5,/run/media/sulcjo/sulcjo-data/IOCB/md/2026_peptide_sampler/RUNS/chignolin_7/adaptive_production/epoch_001/topup_003_4839000,1123696,4583936,0.24513780297107116,0.008169775948974129,0.23382917543350537,0.45033445298842567,0.0071414239189142,0.32644924162139044,30,30,1.0,1,28,5.632817801082268e-07,numba-anderson,155177.31217962757,0.13809545658223182,9.574203092333219,8.520278698449775e-06
epoch,cv_distance,umbrella_only,6,6,6,/run/media/sulcjo/sulcjo-data/IOCB/md/2026_peptide_sampler/RUNS/chignolin_7/adaptive_production/epoch_002/baseline,1458640,4583936,0.3182068859600134,0.0072023893988710196,0.18648283995169962,0.37217432112246707,0.0021418159793524646,0.15474263651723363,30,30,1.0,1,34,7.850827099531443e-07,numba-anderson,261331.7088369609,0.17916121101639945,4.18960147963702,2.872265589615683e-06
epoch,cv_distance,umbrella_only,7,7,7,/run/media/sulcjo/sulcjo-data/IOCB/md/2026_peptide_sampler/RUNS/chignolin_7/adaptive_production/epoch_002/topup_001_2685000,1630464,4583936,0.3556908298894225,0.007919795711301192,0.20273559780952277,0.4847459053189618,0.00015090817813269455,0.032510520446056526,30,30,1.0,1,27,4.5668233750184584e-07,numba-anderson,259926.48057607823,0.15941871796990195,4.333632238754849,2.6579134766268067e-06
epoch,cv_distance,umbrella_only,8,8,8,/run/media/sulcjo/sulcjo-data/IOCB/md/2026_peptide_sampler/RUNS/chignolin_7/adaptive_production/epoch_002/topup_002_3394000,1630464,4583936,0.3556908298894225,0.007919910758322178,0.20273675175578088,0.4847489744294817,8.658046724042766e-13,1.836446444057353e-06,30,30,1.0,1,20,5.463323110577178e-07,numba-anderson,259926.2723458802,0.1594185902576691,4.333616947327374,2.6579040980526857e-06
epoch,cv_distance,umbrella_only,9,9,9,/run/media/sulcjo/sulcjo-data/IOCB/md/2026_peptide_sampler/RUNS/chignolin_7/adaptive_production/epoch_002/topup_003_4812000,2196304,4583936,0.479130598682006,0.006598320616779495,0.18427372067145545,0.475546009853721,0.00022277975840422016,0.05283585750569746,30,30,1.0,1,31,9.23751516168636e-07,numba-anderson,294898.57530554733,0.13427038119747872,4.3251512049044525,1.9692862212628363e-06
epoch,cv_distance,umbrella_only,10,10,10,/run/media/sulcjo/sulcjo-data/IOCB/md/2026_peptide_sampler/RUNS/chignolin_7/adaptive_production/final/baseline,3065872,4583936,0.6688295822629287,0.0002455976214681456,0.03766110956877058,0.11368886386587995,0.005018878310914897,0.15869798712470626,30,30,1.0,1,28,6.595542727527715e-07,numba-anderson,588841.7626602703,0.19206338772795156,9.803667619509493,3.1976767521636563e-06
epoch,cv_distance,umbrella_only,11,11,11,/run/media/sulcjo/sulcjo-data/IOCB/md/2026_peptide_sampler/RUNS/chignolin_7/adaptive_production/final/topup_001_6907000,3507904,4583936,0.7652602479615771,0.00020493708682773248,0.033987965286154706,0.06341586045141767,3.917755046568876e-05,0.016218453450053603,30,30,1.0,1,24,9.046651019417595e-07,numba-anderson,589291.5140952263,0.1679896354333603,11.285261645956542,3.2170953498033418e-06
epoch,cv_distance,umbrella_only,12,12,12,/run/media/sulcjo/sulcjo-data/IOCB/md/2026_peptide_sampler/RUNS/chignolin_7/adaptive_production/final/topup_002_8742000,3507904,4583936,0.7652602479615771,0.000204945571536919,0.033989163579990454,0.06340837625281104,1.4650269779423898e-11,7.005356175292162e-06,30,30,1.0,1,21,4.634715465856587e-07,numba-anderson,589291.5199120452,0.16798963709156386,11.285440317622255,3.2171462838271103e-06
epoch,cv_distance,umbrella_only,13,13,13,/run/media/sulcjo/sulcjo-data/IOCB/md/2026_peptide_sampler/RUNS/chignolin_7/adaptive_production/final/topup_003_12558000,4583936,4583936,1.0,0.0002769710990593705,0.039915936025161566,0.06429889939443711,0.0003172544283387469,0.04083394962639781,30,30,1.0,1,32,6.073575491427619e-07,numba-anderson,647953.8730860633,0.14135316747137466,15.229837979217628,3.3224368706756874e-06
