variant,metric,checkpoint_index,n_epochs,frac_total,bin,x,F_kcal_mol,P,count
epoch,cv_distance,2,2,0.07305861163855691,0,0.037104567109296716,3.310404048128091,0.00027369365618905,31
epoch,cv_distance,2,2,0.07305861163855691,1,0.06925855269655586,1.8724263722410943,0.0030535830643129308,1070
epoch,cv_distance,2,2,0.07305861163855691,2,0.101412538283815,1.2238921448521887,0.00906268995800328,7132
epoch,cv_distance,2,2,0.07305861163855691,3,0.13356652387107412,1.0609872730745344,0.011910523766618846,14476
epoch,cv_distance,2,2,0.07305861163855691,4,0.16572050945833325,0.9760420352406873,0.013734478763225973,14743
epoch,cv_distance,2,2,0.07305861163855691,5,0.1978744950455924,0.8728941891358084,0.01632878344361648,13709
epoch,cv_distance,2,2,0.07305861163855691,6,0.23002848063285153,0.8081780997463248,0.01820113716397165,13850
epoch,cv_distance,2,2,0.07305861163855691,7,0.26218246622011065,0.7458662425241926,0.020206531345405492,13725
epoch,cv_distance,2,2,0.07305861163855691,8,0.2943364518073698,0.6729299097065278,0.022836249809554465,13347
epoch,cv_distance,2,2,0.07305861163855691,9,0.3264904373946289,0.6624630536149003,0.023240728201423446,13114
epoch,cv_distance,2,2,0.07305861163855691,10,0.35864442298188803,0.6759091305299139,0.022722413971455215,12476
epoch,cv_distance,2,2,0.07305861163855691,11,0.39079840856914716,0.647060099247895,0.023849020735057812,11798
epoch,cv_distance,2,2,0.07305861163855691,12,0.42295239415640634,0.47528184375076465,0.03181327755500501,12266
epoch,cv_distance,2,2,0.07305861163855691,13,0.45510637974366547,0.2739517951998567,0.04459378262091076,13294
epoch,cv_distance,2,2,0.07305861163855691,14,0.4872603653309246,0.10851630741428209,0.05885611144503643,14725
epoch,cv_distance,2,2,0.07305861163855691,15,0.5194143509181837,0.09054208634559768,0.060657640636286855,14491
epoch,cv_distance,2,2,0.07305861163855691,16,0.5515683365054429,0.17745525293741093,0.05242888060754029,13210
epoch,cv_distance,2,2,0.07305861163855691,17,0.5837223220927019,0.331337790617402,0.04050134837272434,11742
epoch,cv_distance,2,2,0.07305861163855691,18,0.6158763076799612,0.3967574970267911,0.03629210966012358,11245
epoch,cv_distance,2,2,0.07305861163855691,19,0.6480302932672202,0.3107645719728045,0.041923425492828785,12017
epoch,cv_distance,2,2,0.07305861163855691,20,0.6801842788544794,0.14814032520830822,0.05507139367643708,13462
epoch,cv_distance,2,2,0.07305861163855691,21,0.7123382644417384,0.03611078964843606,0.06645656517887398,14339
epoch,cv_distance,2,2,0.07305861163855691,22,0.7444922500289977,0.0,0.07060639784744481,14961
epoch,cv_distance,2,2,0.07305861163855691,23,0.7766462356162568,0.05115753143899582,0.06480023291871471,14748
epoch,cv_distance,2,2,0.07305861163855691,24,0.8088002212035159,0.27285350882405557,0.044676011855683144,12984
epoch,cv_distance,2,2,0.07305861163855691,25,0.8409542067907751,0.46758954517979223,0.03222642555776422,10954
epoch,cv_distance,2,2,0.07305861163855691,26,0.8731081923780342,0.2847469953191173,0.043793552103486226,11710
epoch,cv_distance,2,2,0.07305861163855691,27,0.9052621779652934,0.1142143967190885,0.05829624657168807,8033
epoch,cv_distance,2,2,0.07305861163855691,28,0.9374161635525524,1.0800477493733576,0.011535743506803973,1203
epoch,cv_distance,2,2,0.07305861163855691,29,0.9695701491398117,4.311824825246731,5.1020513813115884e-05,41
epoch,cv_distance,3,3,0.11002596894895565,0,0.037104567109296716,3.1752354961860516,0.000328555439829652,38
epoch,cv_distance,3,3,0.11002596894895565,1,0.06925855269655586,1.736774786892421,0.0036686438413764027,1651
epoch,cv_distance,3,3,0.11002596894895565,2,0.101412538283815,1.0887792975880375,0.010878286023227721,11438
epoch,cv_distance,3,3,0.11002596894895565,3,0.13356652387107412,0.9283555574819831,0.014237270746903195,21148
epoch,cv_distance,3,3,0.11002596894895565,4,0.16572050945833325,0.8470878947466494,0.016316575250753546,22196
epoch,cv_distance,3,3,0.11002596894895565,5,0.1978744950455924,0.749540456158877,0.01921723244126913,21241
epoch,cv_distance,3,3,0.11002596894895565,6,0.23002848063285153,0.6918107121256423,0.0211712299536251,20694
epoch,cv_distance,3,3,0.11002596894895565,7,0.26218246622011065,0.6353989557890771,0.023272401527392635,20560
epoch,cv_distance,3,3,0.11002596894895565,8,0.2943364518073698,0.564992515833437,0.02618974252981265,19531
epoch,cv_distance,3,3,0.11002596894895565,9,0.3264904373946289,0.5543606951668436,0.02666099476489575,18905
epoch,cv_distance,3,3,0.11002596894895565,10,0.35864442298188803,0.5640898596615895,0.026229426822870768,18229
epoch,cv_distance,3,3,0.11002596894895565,11,0.39079840856914716,0.5300057574256538,0.027772728826557437,18393
epoch,cv_distance,3,3,0.11002596894895565,12,0.42295239415640634,0.3553329738350315,0.03722759983897003,19462
epoch,cv_distance,3,3,0.11002596894895565,13,0.45510637974366547,0.15834728768676132,0.05180433852001991,20819
epoch,cv_distance,3,3,0.11002596894895565,14,0.4872603653309246,0.0031632115705708674,0.06720713576940163,22200
epoch,cv_distance,3,3,0.11002596894895565,15,0.5194143509181837,0.0,0.06756468228416834,21630
epoch,cv_distance,3,3,0.11002596894895565,16,0.5515683365054429,0.1052981865322895,0.05662544150416485,19177
epoch,cv_distance,3,3,0.11002596894895565,17,0.5837223220927019,0.27884995239027677,0.04232351825139689,17201
epoch,cv_distance,3,3,0.11002596894895565,18,0.6158763076799612,0.3640683979738035,0.036686088764835194,17459
epoch,cv_distance,3,3,0.11002596894895565,19,0.6480302932672202,0.29806436291627936,0.04098117013629918,18441
